105. E1/E2 	84 / 0	71710,5228 ms 70246/1400
106. E1/E2 	59 / 0	72060,2625 ms 70607/1390
107. E1/E2 	95 / 0	71631,4986 ms 70167/1399
108. E1/E2 	24 / 0	72114,0813 ms 70649/1403
109. E1/E2 	42 / 0	71908,856 ms 70450/1396
110. E1/E2 	46 / 0	71702,7931 ms 70245/1396
111. E1/E2 	59 / 0	71632,5597 ms 70172/1397
112. E1/E2 	105 / 0	71604,4686 ms 70139/1400
113. E1/E2 	106 / 0	71762,2201 ms 70293/1404
114. E1/E2 	117 / 0	71629,0537 ms 70163/1400
115. E1/E2 	137 / 0	71784,645 ms 70312/1405
116. E1/E2 	106 / 0	71587,1912 ms 70124/1398
117. E1/E2 	103 / 0	71624,1569 ms 70156/1403
118. E1/E2 	93 / 0	71681,9202 ms 70213/1404
119. E1/E2 	61 / 0	71553,813 ms 70089/1402
120. E1/E2 	59 / 0	71818,7254 ms 70357/1399
121. E1/E2 	60 / 0	71408,4111 ms 69945/1400
122. E1/E2 	52 / 0	71739,6624 ms 70275/1401
123. E1/E2 	29 / 0	71619,0795 ms 70152/1405
124. E1/E2 	32 / 0	71465,7441 ms 70000/1404
125. E1/E2 	44 / 0	71570,0764 ms 70106/1402
126. E1/E2 	65 / 0	71401,1218 ms 69936/1401
127. E1/E2 	38 / 0	71489,5899 ms 70023/1404
128. E1/E2 	0 / 0	72176,7905 ms 70708/1408
	FullTime = 9514267,9544 ms 
