125 - 10 - 0 ms 0/0	E: 51 / 49
126 - 17 - 0 ms 0/0	E: 55 / 52
127 - 18 - 0 ms 0/0	E: 65 / 54
128 - 21 - 0 ms 0/0	E: 53 / 50
129 - 17 - 0 ms 0/0	E: 59 / 51
130 - 14 - 0 ms 0/0	E: 61 / 54
131 - 22 - 0 ms 0/0	E: 55 / 50
132 - 17 - 0 ms 0/0	E: 52 / 52
133 - 10 - 0 ms 0/0	E: 55 / 50
134 - 7 - 0 ms 0/0	E: 50 / 49
135 - 19 - 0 ms 0/0	E: 54 / 50
136 - 10 - 0 ms 0/0	E: 52 / 50
137 - 13 - 0 ms 0/0	E: 52 / 50
138 - 15 - 0 ms 0/0	E: 54 / 49
139 - 16 - 0 ms 0/0	E: 58 / 53
140 - 16 - 0 ms 0/0	E: 57 / 53
141 - 12 - 0 ms 0/0	E: 62 / 53
142 - 17 - 0 ms 0/0	E: 56 / 51
143 - 18 - 0 ms 0/0	E: 63 / 53
144 - 17 - 0 ms 0/0	E: 57 / 51
145 - 18 - 0 ms 0/0	E: 60 / 50
146 - 18 - 0 ms 0/0	E: 48 / 46
147 - 16 - 0 ms 0/0	E: 64 / 53
148 - 17 - 0 ms 0/0	E: 63 / 50
149 - 17 - 0 ms 0/0	E: 50 / 47
150 - 12 - 0 ms 0/0	E: 55 / 52
151 - 16 - 0 ms 0/0	E: 55 / 51
152 - 13 - 0 ms 0/0	E: 60 / 52
153 - 13 - 0 ms 0/0	E: 54 / 51
154 - 11 - 0 ms 0/0	E: 52 / 48
155 - 9 - 0 ms 0/0	E: 54 / 50
156 - 10 - 0 ms 0/0	E: 56 / 51
157 - 16 - 0 ms 0/0	E: 56 / 51
158 - 9 - 0 ms 0/0	E: 55 / 50
159 - 13 - 0 ms 0/0	E: 56 / 50
160 - 7 - 0 ms 0/0	E: 58 / 52
161 - 8 - 0 ms 0/0	E: 56 / 50
162 - 11 - 0 ms 0/0	E: 57 / 50
163 - 12 - 0 ms 0/0	E: 58 / 51
164 - 9 - 0 ms 0/0	E: 59 / 53
165 - 15 - 0 ms 0/0	E: 59 / 50
166 - 13 - 0 ms 0/0	E: 61 / 51
167 - 12 - 0 ms 0/0	E: 58 / 50
168 - 9 - 0 ms 0/0	E: 60 / 51
169 - 15 - 0 ms 0/0	E: 58 / 53
170 - 11 - 0 ms 0/0	E: 57 / 52
171 - 13 - 0 ms 0/0	E: 58 / 50
172 - 12 - 0 ms 0/0	E: 58 / 52
173 - 9 - 0 ms 0/0	E: 58 / 51
174 - 9 - 0 ms 0/0	E: 57 / 51
175 - 12 - 0 ms 0/0	E: 55 / 50
176 - 13 - 0 ms 0/0	E: 57 / 51
177 - 9 - 0 ms 0/0	E: 56 / 50
178 - 11 - 0 ms 0/0	E: 57 / 50
179 - 10 - 0 ms 0/0	E: 57 / 49
180 - 7 - 0 ms 0/0	E: 55 / 51
181 - 10 - 0 ms 0/0	E: 54 / 51
182 - 12 - 1 ms 0/0	E: 54 / 51
183 - 8 - 0 ms 0/0	E: 54 / 50
184 - 9 - 1 ms 0/0	E: 52 / 50
185 - 7 - 0 ms 0/0	E: 52 / 50
186 - 8 - 0 ms 0/0	E: 53 / 50
187 - 12 - 0 ms 0/0	E: 54 / 48
188 - 10 - 0 ms 0/0	E: 55 / 48
189 - 7 - 0 ms 0/0	E: 56 / 48
190 - 9 - 0 ms 0/0	E: 53 / 49
191 - 9 - 0 ms 0/0	E: 55 / 49
192 - 8 - 0 ms 0/0	E: 55 / 49
193 - 6 - 0 ms 0/0	E: 58 / 49
194 - 12 - 0 ms 0/0	E: 58 / 49
195 - 4 - 0 ms 0/0	E: 56 / 51
196 - 13 - 0 ms 0/0	E: 64 / 50
197 - 14 - 0 ms 0/0	E: 57 / 48
198 - 11 - 0 ms 0/0	E: 60 / 51
199 - 12 - 0 ms 0/0	E: 62 / 51
200 - 12 - 0 ms 0/0	E: 62 / 52
201 - 8 - 1 ms 0/0	E: 55 / 49
202 - 11 - 1 ms 0/0	E: 55 / 52
203 - 8 - 0 ms 0/0	E: 52 / 50
204 - 6 - 1 ms 0/0	E: 52 / 48
205 - 10 - 0 ms 0/0	E: 54 / 50
206 - 8 - 0 ms 0/0	E: 60 / 51
207 - 9 - 0 ms 0/0	E: 56 / 51
208 - 12 - 0 ms 0/0	E: 57 / 51
209 - 4 - 0 ms 0/0	E: 58 / 51
210 - 4 - 0 ms 0/0	E: 58 / 51
211 - 4 - 0 ms 0/0	E: 57 / 51
212 - 4 - 0 ms 0/0	E: 57 / 51
213 - 6 - 0 ms 0/0	E: 60 / 51
214 - 4 - 0 ms 0/0	E: 57 / 51
215 - 4 - 0 ms 0/0	E: 57 / 51
216 - 4 - 0 ms 0/0	E: 57 / 51
217 - 4 - 0 ms 0/0	E: 57 / 52
218 - 6 - 0 ms 0/0	E: 57 / 52
219 - 4 - 0 ms 0/0	E: 57 / 52
220 - 6 - 0 ms 0/0	E: 60 / 50
221 - 4 - 0 ms 0/0	E: 61 / 50
222 - 6 - 0 ms 0/0	E: 62 / 51
223 - 4 - 0 ms 0/0	E: 64 / 50
224 - 6 - 0 ms 0/0	E: 62 / 51
225 - 4 - 0 ms 0/0	E: 63 / 51
226 - 4 - 0 ms 0/0	E: 63 / 52
227 - 4 - 0 ms 0/0	E: 63 / 51
228 - 4 - 1 ms 0/0	E: 60 / 51
229 - 1 - 1 ms 0/0	E: 52 / 49
230 - 5 - 1 ms 0/0	E: 59 / 52
231 - 2 - 1 ms 0/0	E: 63 / 52
232 - 4 - 1 ms 0/0	E: 62 / 52
233 - 2 - 1 ms 0/0	E: 63 / 52
234 - 1 - 1 ms 0/0	E: 51 / 48
235 - 8 - 0 ms 0/0	E: 53 / 50
236 - 4 - 0 ms 0/0	E: 53 / 52
237 - 0 - 0 ms 0/0	E: 53 / 52
	FullTime = 198,1516 ms 
