69. E1/E2 	48 / 0 (1,0000)	3 ms 1/0 0-0-0	E: 70 / 49
70. E1/E2 	36 / 4 (1,0000)	5 ms 1/0 0-0-3	E: 57 / 52
71. E1/E2 	35 / 2 (1,0000)	3 ms 1/0 0-0-1	E: 74 / 47
72. E1/E2 	40 / 2 (1,0000)	3 ms 1/0 0-0-1	E: 50 / 49
73. E1/E2 	38 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 66 / 56
74. E1/E2 	41 / 4 (1,0000)	4 ms 1/0 0-0-2	E: 51 / 51
75. E1/E2 	37 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 69 / 50
76. E1/E2 	41 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 51 / 50
77. E1/E2 	34 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 80 / 52
78. E1/E2 	36 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 66 / 55
79. E1/E2 	35 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 54
80. E1/E2 	34 / 2 (1,0000)	3 ms 1/0 0-0-1	E: 72 / 49
81. E1/E2 	35 / 1 (1,0000)	4 ms 1/0 0-0-1	E: 64 / 54
82. E1/E2 	36 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 53 / 51
83. E1/E2 	46 / 2 (1,0000)	3 ms 1/0 0-0-1	E: 53 / 49
84. E1/E2 	42 / 2 (1,0000)	3 ms 1/0 0-0-1	E: 60 / 57
85. E1/E2 	43 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 70 / 52
86. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 51 / 50
87. E1/E2 	25 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 55 / 51
88. E1/E2 	31 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 64 / 57
89. E1/E2 	32 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 49
90. E1/E2 	37 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 51 / 49
91. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 55 / 51
92. E1/E2 	34 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 66 / 53
93. E1/E2 	33 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 65 / 52
94. E1/E2 	32 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 54 / 50
95. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 65 / 57
96. E1/E2 	33 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 57 / 51
97. E1/E2 	36 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 61 / 54
98. E1/E2 	33 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 56 / 53
99. E1/E2 	31 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 54 / 50
100. E1/E2 	33 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 66 / 56
101. E1/E2 	31 / 3 (1,0000)	4 ms 1/0 0-0-2	E: 50 / 49
102. E1/E2 	26 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 61 / 51
103. E1/E2 	31 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 54 / 51
104. E1/E2 	29 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 58 / 51
105. E1/E2 	31 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 56
106. E1/E2 	29 / 4 (1,0000)	4 ms 1/0 0-0-2	E: 76 / 47
107. E1/E2 	43 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 53
108. E1/E2 	32 / 3 (1,0000)	3 ms 1/0 0-0-2	E: 62 / 52
109. E1/E2 	31 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 53 / 48
110. E1/E2 	25 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 62 / 51
111. E1/E2 	33 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 62 / 52
112. E1/E2 	29 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 56 / 52
113. E1/E2 	27 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 70 / 53
114. E1/E2 	28 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 55 / 49
115. E1/E2 	30 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 60 / 52
116. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 50
117. E1/E2 	31 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 61 / 53
118. E1/E2 	18 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 50 / 49
119. E1/E2 	23 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 56 / 51
120. E1/E2 	28 / 3 (1,0000)	4 ms 1/0 0-0-2	E: 60 / 49
121. E1/E2 	34 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 56 / 54
122. E1/E2 	36 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 50
123. E1/E2 	26 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 54
124. E1/E2 	35 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 46
125. E1/E2 	32 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 55 / 52
126. E1/E2 	40 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 60 / 52
127. E1/E2 	25 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 73 / 49
128. E1/E2 	33 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 63 / 47
129. E1/E2 	26 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 56 / 52
130. E1/E2 	23 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 52
131. E1/E2 	20 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 53 / 47
132. E1/E2 	28 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 68 / 52
133. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 52
134. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 61 / 54
135. E1/E2 	27 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 49
136. E1/E2 	33 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 59 / 47
137. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 51
138. E1/E2 	34 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 54 / 52
139. E1/E2 	29 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 66 / 49
140. E1/E2 	33 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 65 / 54
141. E1/E2 	36 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 59 / 45
142. E1/E2 	27 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 55 / 53
143. E1/E2 	28 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 54 / 48
144. E1/E2 	36 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 64 / 56
145. E1/E2 	26 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 69 / 53
146. E1/E2 	29 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 64 / 54
147. E1/E2 	30 / 1 (1,0000)	3 ms 2/0 0-0-1	E: 64 / 57
148. E1/E2 	25 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 53 / 48
149. E1/E2 	26 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 51 / 48
150. E1/E2 	27 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 53
151. E1/E2 	34 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 55 / 51
152. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 53 / 48
153. E1/E2 	32 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 69 / 55
154. E1/E2 	32 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 53
155. E1/E2 	23 / 2 (1,0000)	3 ms 1/0 0-0-1	E: 54 / 50
156. E1/E2 	25 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 62 / 49
157. E1/E2 	25 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 50 / 47
158. E1/E2 	22 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 50 / 46
159. E1/E2 	29 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 55 / 54
160. E1/E2 	27 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 72 / 48
161. E1/E2 	27 / 0 (1,0000)	3 ms 1/0 0-0-0	E: 69 / 57
162. E1/E2 	27 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 68 / 50
163. E1/E2 	30 / 0 (1,0000)	4 ms 3/0 0-0-0	E: 54 / 49
164. E1/E2 	30 / 0 (1,0000)	3 ms 1/0 0-0-0	E: 55 / 52
165. E1/E2 	20 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 70 / 53
166. E1/E2 	35 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 46
167. E1/E2 	19 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 52 / 51
168. E1/E2 	29 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 54 / 52
169. E1/E2 	14 / 2 (1,0000)	5 ms 2/0 0-0-2	E: 57 / 53
170. E1/E2 	19 / 0 (1,0000)	3 ms 2/0 0-0-0	E: 54 / 49
171. E1/E2 	18 / 0 (1,0000)	3 ms 2/0 0-0-0	E: 57 / 53
172. E1/E2 	22 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 67 / 51
173. E1/E2 	27 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 67 / 52
174. E1/E2 	15 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 53
175. E1/E2 	16 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 55
176. E1/E2 	22 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 62 / 50
177. E1/E2 	29 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 53 / 50
178. E1/E2 	21 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 51
179. E1/E2 	22 / 1 (1,0000)	3 ms 1/0 0-0-1	E: 63 / 53
180. E1/E2 	23 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 62 / 57
181. E1/E2 	30 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 73 / 52
182. E1/E2 	18 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 65 / 53
183. E1/E2 	24 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 51
184. E1/E2 	27 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 53
185. E1/E2 	16 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 60 / 55
186. E1/E2 	28 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 51 / 50
187. E1/E2 	25 / 0 (1,0000)	2 ms 2/0 0-0-0	E: 61 / 48
188. E1/E2 	15 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 52
189. E1/E2 	22 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 62 / 51
190. E1/E2 	27 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 68 / 51
191. E1/E2 	20 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 69 / 54
192. E1/E2 	17 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 64 / 58
193. E1/E2 	19 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 53
194. E1/E2 	22 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 52
195. E1/E2 	23 / 0 (1,0000)	2 ms 2/0 0-0-0	E: 69 / 56
196. E1/E2 	28 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 55 / 48
197. E1/E2 	22 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 52
198. E1/E2 	20 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 56 / 52
199. E1/E2 	14 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 51
200. E1/E2 	23 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 52
201. E1/E2 	26 / 0 (1,0000)	4 ms 2/0 0-0-0	E: 63 / 55
202. E1/E2 	11 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 69 / 55
203. E1/E2 	19 / 1 (1,0000)	7 ms 5/0 0-0-1	E: 65 / 54
204. E1/E2 	16 / 1 (1,0000)	4 ms 2/0 0-0-1	E: 58 / 48
205. E1/E2 	20 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 51
206. E1/E2 	25 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 56 / 53
207. E1/E2 	14 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 53 / 51
208. E1/E2 	23 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 52
209. E1/E2 	18 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 66 / 53
210. E1/E2 	25 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 61 / 54
211. E1/E2 	16 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 62 / 54
212. E1/E2 	16 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 52
213. E1/E2 	23 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 54 / 53
214. E1/E2 	19 / 1 (1,0000)	2 ms 1/0 0-0-1	E: 61 / 53
215. E1/E2 	18 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 62 / 50
216. E1/E2 	13 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 54 / 51
217. E1/E2 	16 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 55
218. E1/E2 	6 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 62 / 48
219. E1/E2 	17 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 56 / 52
220. E1/E2 	18 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 62 / 51
221. E1/E2 	17 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 64 / 50
222. E1/E2 	16 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 49
223. E1/E2 	7 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 51
224. E1/E2 	9 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 53
225. E1/E2 	14 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 50
226. E1/E2 	12 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 61 / 55
227. E1/E2 	6 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 54
228. E1/E2 	12 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 56 / 51
229. E1/E2 	6 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 54
230. E1/E2 	5 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 51
231. E1/E2 	18 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 51
232. E1/E2 	10 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 49
233. E1/E2 	16 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 51
234. E1/E2 	7 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 57 / 51
235. E1/E2 	18 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 69 / 52
236. E1/E2 	14 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 51
237. E1/E2 	9 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 72 / 51
238. E1/E2 	11 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 55
239. E1/E2 	6 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 60 / 56
240. E1/E2 	3 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 50
241. E1/E2 	3 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 59 / 54
242. E1/E2 	10 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 63 / 53
243. E1/E2 	10 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 54
244. E1/E2 	4 / 0 (1,0000)	2 ms 1/0 0-0-0	E: 58 / 52
245. E1/E2 	0 / 0 (1,0000)	3 ms 1/0 0-0-0	E: 58 / 52
	FullTime = 765,9261 ms 
