0. E1/E2 	36340 / 3238	467950,5522 ms 17080/255
1. E1/E2 	22683 / 2230	224805,487 ms 13469/215
2. E1/E2 	18657 / 1847	184628,2881 ms 13167/217
3. E1/E2 	16359 / 1501	150186,3635 ms 12153/205
4. E1/E2 	14642 / 1353	129377,6136 ms 11902/204
5. E1/E2 	13610 / 1160	114079,6483 ms 11989/207
6. E1/E2 	12811 / 989	97891,6679 ms 11304/199
7. E1/E2 	11875 / 929	91906,3392 ms 11125/196
8. E1/E2 	11669 / 952	94742,2333 ms 11495/203
9. E1/E2 	11162 / 859	87731,3174 ms 11517/204
10. E1/E2 	10657 / 811	83459,6534 ms 11377/203
11. E1/E2 	10505 / 716	67649,5559 ms 10865/196
12. E1/E2 	9963 / 747	76710,9633 ms 11025/197
13. E1/E2 	9643 / 685	73151,7135 ms 11451/206
14. E1/E2 	9401 / 689	73719,9585 ms 11508/208
15. E1/E2 	9221 / 653	62664,4712 ms 11031/201
16. E1/E2 	8997 / 607	66126,557 ms 11208/201
17. E1/E2 	8825 / 685	71907,6483 ms 11038/196
18. E1/E2 	8612 / 603	57719,9156 ms 10930/198
19. E1/E2 	8529 / 600	63979,5506 ms 11030/201
20. E1/E2 	8278 / 603	58055,9387 ms 10911/198
21. E1/E2 	7918 / 560	60221,964 ms 11330/208
22. E1/E2 	7995 / 511	57379,9424 ms 11263/206
23. E1/E2 	7736 / 562	55637,2625 ms 11296/205
24. E1/E2 	7806 / 554	61260,8294 ms 11368/208
25. E1/E2 	7655 / 472	47294,5126 ms 10668/197
26. E1/E2 	7618 / 458	53302,5249 ms 10687/198
27. E1/E2 	7476 / 493	50605,9078 ms 11195/209
28. E1/E2 	7399 / 522	57328,7845 ms 10994/202
29. E1/E2 	7405 / 451	46372,1951 ms 10870/201
30. E1/E2 	7083 / 448	53458,04 ms 11309/212
31. E1/E2 	7108 / 451	47297,2808 ms 11275/211
32. E1/E2 	6799 / 418	50421,1571 ms 11227/210
33. E1/E2 	6918 / 441	45977,7699 ms 11206/208
34. E1/E2 	6788 / 387	48275,3018 ms 11503/217
