0. E1/E2 	19936 / 662	78067,5713 ms 17278/264
1. E1/E2 	13236 / 388	40969,2067 ms 15309/236
2. E1/E2 	10733 / 271	28364,5259 ms 15318/238
3. E1/E2 	9396 / 211	52082,4204 ms 25815/402
4. E1/E2 	8764 / 164	63372,8208 ms 27922/455
5. E1/E2 	7960 / 127	47637,8874 ms 27411/429
6. E1/E2 	7348 / 140	38884,4395 ms 26863/412
7. E1/E2 	6645 / 87	39180,9263 ms 27690/434
8. E1/E2 	6494 / 91	47344,6407 ms 27166/424
9. E1/E2 	6230 / 77	44257,832 ms 27490/442
10. E1/E2 	5774 / 66	35252,4529 ms 27482/430
11. E1/E2 	5434 / 51	31613,3239 ms 26863/407
12. E1/E2 	5357 / 37	31256,4561 ms 26747/411
13. E1/E2 	5096 / 47	37997,5836 ms 27307/430
14. E1/E2 	4774 / 34	35590,1421 ms 27405/431
15. E1/E2 	4558 / 29	34355,7066 ms 27241/424
16. E1/E2 	4299 / 16	29764,7735 ms 27637/435
17. E1/E2 	4182 / 23	29443,2172 ms 26889/409
18. E1/E2 	3873 / 14	29702,3081 ms 26939/413
19. E1/E2 	3630 / 17	32406,4877 ms 27914/446
20. E1/E2 	3528 / 21	31737,4173 ms 27089/429
21. E1/E2 	3565 / 17	31062,3536 ms 26864/415
22. E1/E2 	3494 / 13	29101,6888 ms 26804/410
23. E1/E2 	3171 / 13	28517,9364 ms 26810/408
24. E1/E2 	3011 / 8	18203,1668 ms 17467/283
25. E1/E2 	2955 / 17	16349,3115 ms 15351/253
26. E1/E2 	2783 / 7	16205,1169 ms 15229/252
27. E1/E2 	2849 / 9	17089,6489 ms 16100/269
28. E1/E2 	2585 / 3	15896,2841 ms 15464/251
29. E1/E2 	2317 / 9	16703,2974 ms 15931/262
30. E1/E2 	2284 / 4	16016,6052 ms 15354/259
31. E1/E2 	2528 / 4	16416,361 ms 15789/261
32. E1/E2 	2158 / 5	16140,2003 ms 15651/255
33. E1/E2 	2158 / 6	16076,3912 ms 15509/260
34. E1/E2 	1963 / 7	16286,7347 ms 15463/253
35. E1/E2 	1972 / 2	16254,8819 ms 15717/258
36. E1/E2 	2122 / 3	16013,0027 ms 15579/255
37. E1/E2 	1916 / 2	16039,5208 ms 15636/256
38. E1/E2 	1796 / 3	16754,7308 ms 16242/270
39. E1/E2 	1614 / 1	16104,8205 ms 15662/251
40. E1/E2 	1443 / 2	16596,8158 ms 16122/268
41. E1/E2 	1583 / 2	16259,7365 ms 15846/257
42. E1/E2 	1658 / 1	16033,7321 ms 15675/249
43. E1/E2 	1432 / 2	16198,5539 ms 15739/253
44. E1/E2 	1315 / 1	16130,2701 ms 15767/257
45. E1/E2 	1541 / 0	15968,9518 ms 15637/251
46. E1/E2 	1286 / 4	16305,258 ms 15718/256
47. E1/E2 	1172 / 1	15760,1287 ms 15410/248
48. E1/E2 	1171 / 1	15824,2525 ms 15414/244
49. E1/E2 	1269 / 2	16507,38 ms 15963/266
50. E1/E2 	866 / 1	16905,9787 ms 16518/276
51. E1/E2 	877 / 0	15859,566 ms 15543/247
52. E1/E2 	844 / 0	15750,1142 ms 15435/246
53. E1/E2 	811 / 1	15821,4819 ms 15474/251
54. E1/E2 	973 / 1	15738,5953 ms 15332/250
55. E1/E2 	695 / 0	15609,2859 ms 15303/241
56. E1/E2 	698 / 0	15633,1631 ms 15325/243
57. E1/E2 	814 / 0	15691,9537 ms 15380/245
58. E1/E2 	773 / 0	15515,6059 ms 15211/239
59. E1/E2 	748 / 0	15602,7466 ms 15294/243
60. E1/E2 	726 / 1	15757,1614 ms 15354/248
61. E1/E2 	632 / 0	15648,7239 ms 15342/243
62. E1/E2 	618 / 0	15603,7862 ms 15295/245
63. E1/E2 	521 / 0	15671,2563 ms 15368/241
64. E1/E2 	589 / 0	15672,0953 ms 15366/243
65. E1/E2 	438 / 0	15705,347 ms 15398/246
66. E1/E2 	375 / 0	15905,4799 ms 15593/252
67. E1/E2 	360 / 0	15864,1559 ms 15557/247
68. E1/E2 	509 / 0	16194,0835 ms 15879/250
69. E1/E2 	461 / 2	15870,4659 ms 15509/248
70. E1/E2 	348 / 0	15755,3582 ms 15450/246
71. E1/E2 	411 / 0	15846,6432 ms 15541/245
72. E1/E2 	387 / 0	15882,9289 ms 15573/250
73. E1/E2 	363 / 0	15828,7457 ms 15518/250
74. E1/E2 	451 / 0	15608,2333 ms 15304/243
75. E1/E2 	369 / 0	15708,2384 ms 15405/244
76. E1/E2 	437 / 0	15600,5201 ms 15297/242
77. E1/E2 	374 / 0	15612,5298 ms 15309/244
78. E1/E2 	299 / 0	15588,6156 ms 15288/243
79. E1/E2 	462 / 0	15618,9951 ms 15313/246
80. E1/E2 	241 / 0	15556,5698 ms 15258/242
81. E1/E2 	329 / 0	15502,4463 ms 15206/238
82. E1/E2 	203 / 0	15589,1123 ms 15289/244
83. E1/E2 	276 / 0	15573,0669 ms 15273/242
84. E1/E2 	306 / 0	16391,3918 ms 16064/265
85. E1/E2 	120 / 0	16063,233 ms 15746/259
86. E1/E2 	301 / 0	15833,0848 ms 15526/248
87. E1/E2 	164 / 0	15754,606 ms 15452/246
88. E1/E2 	344 / 0	15841,0359 ms 15533/248
89. E1/E2 	293 / 0	15852,1422 ms 15547/247
90. E1/E2 	335 / 0	15790,2589 ms 15487/245
91. E1/E2 	208 / 0	15813,3487 ms 15507/248
92. E1/E2 	239 / 0	15772,9841 ms 15468/247
