108. E1/E2 	175 / 0	22767,9962 ms 22312/359
109. E1/E2 	234 / 0	22946,5082 ms 22482/361
110. E1/E2 	198 / 0	22749,054 ms 22291/358
111. E1/E2 	182 / 0	22629,7267 ms 22187/347
112. E1/E2 	129 / 0	22755,2309 ms 22307/355
113. E1/E2 	99 / 0	22768,4268 ms 22311/363
114. E1/E2 	140 / 0	22767,1834 ms 22311/362
115. E1/E2 	237 / 0	22867,0965 ms 22404/361
116. E1/E2 	81 / 0	22878,7306 ms 22425/362
117. E1/E2 	170 / 0	22568,533 ms 22122/350
118. E1/E2 	151 / 0	22835,4429 ms 22384/356
119. E1/E2 	99 / 0	22571,3007 ms 22135/347
120. E1/E2 	92 / 0	22625,3342 ms 22189/347
121. E1/E2 	156 / 0	22555,9984 ms 22110/351
122. E1/E2 	139 / 0	22534,9678 ms 22088/354
123. E1/E2 	164 / 0	22507,5561 ms 22058/353
124. E1/E2 	104 / 0	22761,3283 ms 22305/363
125. E1/E2 	63 / 0	22495,1042 ms 22057/350
126. E1/E2 	73 / 0	22485,9414 ms 22045/353
127. E1/E2 	219 / 0	22486,5944 ms 22049/341
128. E1/E2 	82 / 0	22528,9838 ms 22095/347
129. E1/E2 	135 / 0	22868,9912 ms 22417/358
130. E1/E2 	47 / 0	23565,2717 ms 23081/395
131. E1/E2 	64 / 0	24099,4896 ms 23604/404
132. E1/E2 	173 / 0	24147,3925 ms 23642/405
133. E1/E2 	89 / 0	24650,6318 ms 24126/428
134. E1/E2 	131 / 0	23863,1813 ms 23371/396
135. E1/E2 	28 / 0	23892,2406 ms 23413/392
136. E1/E2 	96 / 0	24023,6511 ms 23529/402
137. E1/E2 	62 / 0	22625,4493 ms 22183/356
138. E1/E2 	29 / 0	22571,327 ms 22129/351
139. E1/E2 	55 / 0	22639,6439 ms 22194/357
140. E1/E2 	23 / 0	22495,0734 ms 22060/350
141. E1/E2 	42 / 0	22548,1311 ms 22110/354
142. E1/E2 	82 / 0	22566,2457 ms 22123/354
143. E1/E2 	27 / 0	22404,8878 ms 21974/347
144. E1/E2 	150 / 0	22529,7557 ms 22087/348
145. E1/E2 	88 / 0	22586,2718 ms 22150/348
146. E1/E2 	19 / 0	22337,6846 ms 21915/340
147. E1/E2 	20 / 0	22293,1202 ms 21864/347
148. E1/E2 	47 / 0	22286,2174 ms 21854/347
149. E1/E2 	71 / 0	22328,9514 ms 21896/346
150. E1/E2 	54 / 0	22505,2119 ms 22064/355
151. E1/E2 	71 / 0	22156,5453 ms 21726/344
152. E1/E2 	97 / 0	22340,1161 ms 21906/348
153. E1/E2 	63 / 0	22358,4602 ms 21932/341
154. E1/E2 	16 / 0	22388,5576 ms 21962/343
155. E1/E2 	38 / 0	22496,8747 ms 22066/346
156. E1/E2 	24 / 0	22596,362 ms 22157/353
157. E1/E2 	31 / 0	22602,7703 ms 22157/359
158. E1/E2 	23 / 0	22475,6501 ms 22039/351
159. E1/E2 	21 / 0	22408,4954 ms 21966/360
160. E1/E2 	20 / 0	22504,1855 ms 22067/352
161. E1/E2 	10 / 0	22491,209 ms 22056/352
162. E1/E2 	20 / 0	22070,0058 ms 21650/340
163. E1/E2 	10 / 0	22107,1147 ms 21687/339
164. E1/E2 	18 / 0	22389,4707 ms 21967/341
165. E1/E2 	12 / 0	22493,5605 ms 22053/354
166. E1/E2 	74 / 0	22463,0476 ms 22019/355
167. E1/E2 	14 / 0	22360,0831 ms 21928/349
168. E1/E2 	12 / 0	22531,0701 ms 22089/358
169. E1/E2 	6 / 0	22286,6843 ms 21858/348
170. E1/E2 	14 / 0	22249,6683 ms 21825/343
171. E1/E2 	12 / 0	22475,7904 ms 22046/346
172. E1/E2 	12 / 0	22638,22 ms 22206/348
173. E1/E2 	24 / 0	22846,5034 ms 22408/351
