0. E1/E2 	19657 / 638	117144,0813 ms 39710/378
1. E1/E2 	12838 / 331	60067,8986 ms 38389/374
2. E1/E2 	10395 / 255	59324,7802 ms 38099/373
3. E1/E2 	8961 / 193	52969,7519 ms 38607/387
4. E1/E2 	8068 / 144	48072,2413 ms 38239/387
5. E1/E2 	7277 / 118	47226,4044 ms 38269/389
6. E1/E2 	6711 / 91	45007,7119 ms 38070/389
7. E1/E2 	6329 / 74	42616,8167 ms 37899/392
8. E1/E2 	5774 / 65	44328,2634 ms 37902/390
9. E1/E2 	5481 / 63	42363,3047 ms 38048/393
10. E1/E2 	5083 / 36	42071,2853 ms 37714/394
11. E1/E2 	4815 / 38	40734,52 ms 38095/390
12. E1/E2 	4649 / 42	43702,3199 ms 39956/425
13. E1/E2 	4278 / 22	47373,3341 ms 44409/568
14. E1/E2 	3975 / 13	49801,2325 ms 46693/638
15. E1/E2 	3863 / 19	42792,0629 ms 41161/446
16. E1/E2 	3559 / 14	42534,9489 ms 41016/452
17. E1/E2 	3454 / 10	39980,2352 ms 38687/414
18. E1/E2 	3251 / 12	39269,0813 ms 38064/406
19. E1/E2 	3066 / 14	40226,2602 ms 38028/408
20. E1/E2 	2872 / 2	38788,1151 ms 38171/412
21. E1/E2 	2911 / 12	38949,6293 ms 37905/399
22. E1/E2 	2683 / 7	43428,6855 ms 42127/479
23. E1/E2 	2599 / 4	48708,3939 ms 46945/639
24. E1/E2 	2318 / 5	48332,3233 ms 46270/631
25. E1/E2 	2390 / 4	48476,1629 ms 46495/642
26. E1/E2 	2173 / 4	48233,0546 ms 46526/638
27. E1/E2 	1814 / 4	47231,6995 ms 46005/618
28. E1/E2 	1788 / 4	48343,3783 ms 46505/645
29. E1/E2 	1920 / 2	48129,2613 ms 46639/639
30. E1/E2 	1520 / 1	48367,7445 ms 47214/646
31. E1/E2 	1749 / 0	49014,8081 ms 48084/659
32. E1/E2 	1562 / 0	48102,1712 ms 47189/647
33. E1/E2 	1276 / 0	47279,7535 ms 46403/641
34. E1/E2 	1603 / 3	47301,8391 ms 45819/616
35. E1/E2 	1101 / 0	47929,6762 ms 47072/641
36. E1/E2 	1244 / 1	48987,7799 ms 47839/662
37. E1/E2 	1204 / 2	47583,9493 ms 46281/631
38. E1/E2 	976 / 1	47521,1481 ms 46408/637
39. E1/E2 	1146 / 2	47636,5196 ms 46648/628
40. E1/E2 	1169 / 2	47728,4732 ms 46726/638
41. E1/E2 	974 / 1	47199,7987 ms 46114/628
42. E1/E2 	986 / 1	47893,7198 ms 46800/645
43. E1/E2 	984 / 1	48252,12 ms 47340/641
44. E1/E2 	916 / 2	47747,8638 ms 46629/631
45. E1/E2 	577 / 2	48167,2489 ms 46819/639
46. E1/E2 	851 / 0	46999,0244 ms 46184/625
47. E1/E2 	912 / 1	47909,487 ms 46986/635
48. E1/E2 	675 / 0	46620,8103 ms 45866/602
49. E1/E2 	607 / 0	47444,8058 ms 46653/627
50. E1/E2 	626 / 0	47975,2183 ms 47175/636
51. E1/E2 	532 / 0	47837,6178 ms 47039/641
52. E1/E2 	572 / 0	47961,3402 ms 47158/643
53. E1/E2 	515 / 0	47464,5119 ms 46685/628
54. E1/E2 	507 / 0	47423,6616 ms 46650/621
55. E1/E2 	449 / 0	48365,8305 ms 47568/648
56. E1/E2 	571 / 0	47801,3165 ms 47007/635
57. E1/E2 	458 / 0	48056,6577 ms 47262/646
58. E1/E2 	490 / 0	47735,3083 ms 46942/639
59. E1/E2 	428 / 0	47649,1339 ms 46863/641
60. E1/E2 	280 / 0	47745,741 ms 46981/634
61. E1/E2 	416 / 0	44054,6361 ms 43416/530
62. E1/E2 	340 / 0	39231,2418 ms 38748/413
63. E1/E2 	324 / 0	38968,8874 ms 38490/409
64. E1/E2 	203 / 0	39394,5668 ms 38909/416
65. E1/E2 	205 / 0	38617,9138 ms 38152/400
66. E1/E2 	301 / 0	39185,797 ms 38702/414
67. E1/E2 	278 / 0	39038,9175 ms 38559/412
68. E1/E2 	171 / 0	39449,8641 ms 38956/424
69. E1/E2 	212 / 0	39090,0356 ms 38612/410
70. E1/E2 	230 / 0	38638,925 ms 38169/402
71. E1/E2 	192 / 0	38793,5297 ms 38323/403
72. E1/E2 	223 / 0	39206,3359 ms 38723/414
73. E1/E2 	285 / 0	39200,2387 ms 38716/413
74. E1/E2 	198 / 0	39541,4693 ms 39051/422
75. E1/E2 	173 / 0	39769,6097 ms 39281/420
76. E1/E2 	187 / 0	39071,4695 ms 38594/411
77. E1/E2 	153 / 0	39053,6703 ms 38579/409
78. E1/E2 	121 / 0	38916,4083 ms 38439/412
79. E1/E2 	99 / 0	39744,4753 ms 39258/419
80. E1/E2 	96 / 0	41818,374 ms 41299/446
81. E1/E2 	172 / 0	42122,5548 ms 41590/456
82. E1/E2 	177 / 0	42266,6694 ms 41728/457
83. E1/E2 	57 / 0	42341,4237 ms 41809/458
84. E1/E2 	156 / 0	41918,3164 ms 41385/458
85. E1/E2 	87 / 0	39633,6538 ms 39153/413
86. E1/E2 	140 / 0	39027,6853 ms 38538/423
87. E1/E2 	57 / 0	39367,0617 ms 38875/427
88. E1/E2 	160 / 0	38801,2967 ms 38315/419
89. E1/E2 	162 / 0	39281,179 ms 38794/419
90. E1/E2 	46 / 0	39502,9768 ms 39024/413
91. E1/E2 	70 / 0	38990,5027 ms 38511/413
92. E1/E2 	39 / 0	38804,2596 ms 38334/407
93. E1/E2 	18 / 0	40008,1924 ms 39512/428
94. E1/E2 	22 / 0	41156,9585 ms 40639/445
95. E1/E2 	32 / 0	39581,481 ms 39099/416
96. E1/E2 	34 / 0	39575,0946 ms 39093/416
97. E1/E2 	26 / 0	39767,8432 ms 39287/415
98. E1/E2 	56 / 0	39246,4326 ms 38766/414
99. E1/E2 	70 / 0	44868,2838 ms 44307/481
100. E1/E2 	24 / 0	41067,141 ms 40548/446
101. E1/E2 	66 / 0	38826,2938 ms 38359/402
102. E1/E2 	72 / 0	39119,3321 ms 38656/398
103. E1/E2 	32 / 0	39927,8316 ms 39463/399
104. E1/E2 	12 / 0	39746,4258 ms 39280/402
105. E1/E2 	2 / 0	39417,9551 ms 38961/393
106. E1/E2 	4 / 0	40043,7214 ms 39569/409
107. E1/E2 	0 / 0	39239,6327 ms 38779/397
	FullTime = 4840949,0077 ms 
