93. E1/E2 	5160 / 86	16898,9866 ms 10263/207
94. E1/E2 	5057 / 72	12533,2513 ms 10316/208
95. E1/E2 	4996 / 65	12120,3905 ms 10243/207
96. E1/E2 	4687 / 70	12343,8775 ms 10332/210
97. E1/E2 	4795 / 51	12001,9755 ms 10321/210
98. E1/E2 	4746 / 82	16707,0838 ms 10370/209
99. E1/E2 	4764 / 57	12289,1373 ms 10258/210
100. E1/E2 	4628 / 60	12113,8629 ms 10356/210
101. E1/E2 	4590 / 57	12093,2428 ms 10371/212
102. E1/E2 	4651 / 80	12868,5122 ms 10375/210
103. E1/E2 	4796 / 76	16321,0332 ms 10464/209
104. E1/E2 	4750 / 72	12778,5631 ms 10371/204
105. E1/E2 	4518 / 68	12301,5829 ms 10385/207
106. E1/E2 	4317 / 48	11924,2973 ms 10458/215
107. E1/E2 	4427 / 71	12392,4806 ms 10402/208
108. E1/E2 	4381 / 58	14958,9353 ms 10427/215
109. E1/E2 	4583 / 60	13029,2355 ms 10327/210
110. E1/E2 	4392 / 62	12159,4398 ms 10356/209
111. E1/E2 	4471 / 55	12047,6869 ms 10417/213
112. E1/E2 	4061 / 43	11720,3966 ms 10361/212
113. E1/E2 	4153 / 59	14250,4997 ms 10377/212
114. E1/E2 	4179 / 58	13706,8585 ms 10336/210
115. E1/E2 	4197 / 57	13215,6019 ms 10331/211
116. E1/E2 	4165 / 50	14248,2077 ms 10454/216
117. E1/E2 	4032 / 46	11734,2607 ms 10304/214
118. E1/E2 	4043 / 57	11980,2125 ms 10329/212
119. E1/E2 	3896 / 34	11484,7451 ms 10369/210
120. E1/E2 	3856 / 44	11663,1448 ms 10308/214
121. E1/E2 	4086 / 53	12948,9193 ms 10382/214
122. E1/E2 	3926 / 42	13729,4383 ms 10376/214
123. E1/E2 	3681 / 42	12161,7477 ms 10293/213
124. E1/E2 	3761 / 35	13161,9975 ms 10284/215
125. E1/E2 	3828 / 58	12135,1465 ms 10314/207
126. E1/E2 	3946 / 31	11419,0484 ms 10371/217
127. E1/E2 	3988 / 41	11611,6368 ms 10341/209
128. E1/E2 	3666 / 40	11582,5283 ms 10329/215
129. E1/E2 	3687 / 43	12560,0016 ms 10391/209
130. E1/E2 	3543 / 24	12441,4743 ms 10357/216
131. E1/E2 	3370 / 40	12577,5502 ms 10345/212
132. E1/E2 	3703 / 39	13659,8702 ms 10491/216
133. E1/E2 	3469 / 33	11548,6108 ms 10355/218
134. E1/E2 	3564 / 32	11479,3319 ms 10427/218
135. E1/E2 	3667 / 28	11393,2133 ms 10419/218
136. E1/E2 	3327 / 45	11711,2306 ms 10351/213
137. E1/E2 	3583 / 53	13026,3633 ms 10552/213
138. E1/E2 	3605 / 23	12493,3019 ms 10504/218
139. E1/E2 	3313 / 29	12181,6184 ms 10359/210
140. E1/E2 	3473 / 30	12868,8601 ms 10377/216
141. E1/E2 	3401 / 38	11731,6248 ms 10373/216
142. E1/E2 	3621 / 36	11633,7566 ms 10494/216
143. E1/E2 	2981 / 32	11407,6161 ms 10339/213
144. E1/E2 	3062 / 21	11118,1142 ms 10319/213
145. E1/E2 	3076 / 29	11798,2306 ms 10384/216
146. E1/E2 	3111 / 38	13437,7553 ms 10361/215
147. E1/E2 	3156 / 24	11951,9232 ms 10456/215
148. E1/E2 	3225 / 26	12642,588 ms 10439/221
149. E1/E2 	3355 / 26	11436,1877 ms 10343/216
150. E1/E2 	3078 / 20	11083,387 ms 10307/215
151. E1/E2 	2854 / 23	11162,9877 ms 10300/216
152. E1/E2 	3093 / 29	11274,2649 ms 10296/215
153. E1/E2 	3021 / 32	12339,6887 ms 10557/216
154. E1/E2 	3036 / 24	12363,4788 ms 10314/211
155. E1/E2 	3135 / 17	11432,3094 ms 10345/215
156. E1/E2 	3167 / 25	12428,4543 ms 10309/213
157. E1/E2 	3087 / 19	11217,0047 ms 10354/217
158. E1/E2 	2966 / 21	11243,9319 ms 10447/218
159. E1/E2 	2888 / 15	11061,2451 ms 10421/216
160. E1/E2 	2729 / 25	11277,5013 ms 10402/219
161. E1/E2 	2642 / 18	11379,67 ms 10513/219
162. E1/E2 	2995 / 24	12487,8132 ms 10452/215
163. E1/E2 	2589 / 16	11914,7342 ms 10550/224
164. E1/E2 	2932 / 21	12285,0081 ms 10443/218
165. E1/E2 	2920 / 26	11753,2113 ms 10440/218
166. E1/E2 	2541 / 16	11076,7066 ms 10402/217
167. E1/E2 	2475 / 15	11031,747 ms 10385/218
168. E1/E2 	2286 / 20	11255,797 ms 10489/221
169. E1/E2 	2453 / 26	11388,4368 ms 10420/215
170. E1/E2 	2583 / 12	11761,3708 ms 10581/218
171. E1/E2 	2381 / 12	11335,897 ms 10402/220
172. E1/E2 	2496 / 16	11930,7841 ms 10466/217
173. E1/E2 	2658 / 16	11628,0144 ms 10401/218
174. E1/E2 	2771 / 17	11117,8707 ms 10418/217
175. E1/E2 	2539 / 15	11148,4695 ms 10496/215
176. E1/E2 	2656 / 14	10989,054 ms 10367/215
177. E1/E2 	2456 / 14	10940,034 ms 10325/215
178. E1/E2 	2199 / 12	11518,3334 ms 10365/215
179. E1/E2 	2164 / 14	11598,6031 ms 10347/218
180. E1/E2 	2527 / 22	12278,9839 ms 10381/219
181. E1/E2 	2115 / 12	11082,7772 ms 10403/219
182. E1/E2 	2574 / 13	11020,2321 ms 10415/219
183. E1/E2 	2159 / 12	10985,2129 ms 10412/218
184. E1/E2 	1920 / 9	10821,7538 ms 10328/211
185. E1/E2 	1907 / 8	10973,7876 ms 10346/217
186. E1/E2 	2083 / 12	11515,2761 ms 10347/214
187. E1/E2 	2367 / 8	11427,9213 ms 10543/225
188. E1/E2 	1994 / 7	11205,1383 ms 10397/214
189. E1/E2 	1893 / 8	10901,1988 ms 10421/215
190. E1/E2 	1947 / 6	10776,4968 ms 10348/216
191. E1/E2 	2152 / 12	11167,4906 ms 10579/222
192. E1/E2 	2000 / 12	11139,9929 ms 10574/222
193. E1/E2 	2111 / 9	11410,6388 ms 10600/231
194. E1/E2 	2098 / 15	11960,8693 ms 10585/217
195. E1/E2 	1752 / 4	11009,6482 ms 10480/219
196. E1/E2 	2015 / 6	11146,2898 ms 10413/220
197. E1/E2 	1957 / 8	10907,1017 ms 10422/217
198. E1/E2 	1561 / 7	10974,5647 ms 10523/213
199. E1/E2 	1759 / 7	10908,6194 ms 10455/213
200. E1/E2 	2214 / 12	10987,7433 ms 10410/220
201. E1/E2 	1834 / 13	11784,7736 ms 10543/215
202. E1/E2 	1984 / 3	10842,8372 ms 10428/218
203. E1/E2 	1622 / 6	11138,9438 ms 10420/219
204. E1/E2 	1572 / 6	11128,7454 ms 10496/220
205. E1/E2 	1801 / 9	10849,1772 ms 10352/217
206. E1/E2 	1555 / 6	10841,8001 ms 10412/219
207. E1/E2 	1980 / 7	10905,0447 ms 10435/217
208. E1/E2 	1805 / 10	10879,2411 ms 10357/216
209. E1/E2 	1442 / 9	11390,2827 ms 10459/216
210. E1/E2 	1757 / 6	10986,3402 ms 10407/213
211. E1/E2 	1811 / 8	11174,1696 ms 10305/213
212. E1/E2 	1950 / 8	11140,1596 ms 10316/212
213. E1/E2 	1531 / 8	10849,1709 ms 10380/217
214. E1/E2 	1734 / 3	10658,3601 ms 10304/209
215. E1/E2 	1630 / 7	10746,5519 ms 10294/218
216. E1/E2 	1440 / 4	10819,6823 ms 10442/220
217. E1/E2 	2034 / 6	11079,5325 ms 10342/220
218. E1/E2 	1594 / 4	10887,0906 ms 10361/217
219. E1/E2 	1751 / 4	10933,8328 ms 10348/219
220. E1/E2 	1712 / 12	11368,7006 ms 10442/212
221. E1/E2 	1593 / 4	10854,0013 ms 10468/222
222. E1/E2 	1573 / 7	10878,4802 ms 10424/219
223. E1/E2 	1544 / 3	10810,1826 ms 10457/213
224. E1/E2 	1440 / 4	10773,1544 ms 10387/218
225. E1/E2 	1711 / 7	11234,9856 ms 10431/221
226. E1/E2 	1226 / 3	10965,339 ms 10448/229
227. E1/E2 	1141 / 3	10898,727 ms 10400/210
228. E1/E2 	1438 / 4	11015,1656 ms 10435/214
229. E1/E2 	1290 / 6	10842,911 ms 10416/218
230. E1/E2 	1417 / 14	10997,5942 ms 10380/217
231. E1/E2 	1337 / 8	11012,5605 ms 10543/210
232. E1/E2 	1476 / 4	10763,5713 ms 10388/212
