	0,5547	0,0670	0,4944	0,5111	0,5389	0,5778	0,6389
	0,5895	0,0880	0,5000	0,5333	0,5778	0,6167	0,6667
	0,5871	0,0936	0,5000	0,5278	0,5667	0,6056	0,7278
	0,5789	0,0839	0,4889	0,5333	0,5667	0,6000	0,6556
	0,5619	0,0719	0,4944	0,5167	0,5444	0,5833	0,6556
	0,5940	0,0917	0,4944	0,5333	0,5722	0,6278	0,7056
	0,5490	0,0653	0,4889	0,5056	0,5333	0,5667	0,6278
	0,5691	0,0803	0,4889	0,5111	0,5500	0,6056	0,6611
	0,5186	0,0376	0,4778	0,4944	0,5111	0,5333	0,5611
	0,5309	0,0591	0,4778	0,4944	0,5167	0,5444	0,5778
	0,5170	0,0349	0,4833	0,4944	0,5111	0,5333	0,5611
	0,5311	0,0491	0,4889	0,5000	0,5222	0,5444	0,5778
	0,5402	0,0668	0,4833	0,5000	0,5278	0,5500	0,6000
	0,5296	0,0480	0,4833	0,5000	0,5222	0,5444	0,5722
	0,5343	0,0746	0,4833	0,4944	0,5167	0,5389	0,6167
	0,5254	0,0494	0,4778	0,5000	0,5167	0,5389	0,5667
	0,5451	0,0637	0,4944	0,5056	0,5278	0,5556	0,6111
	0,5516	0,0678	0,4889	0,5111	0,5389	0,5667	0,6167
	0,5471	0,0729	0,4833	0,5056	0,5333	0,5611	0,6167
	0,5394	0,0675	0,4833	0,5000	0,5222	0,5500	0,6222
	0,5360	0,0645	0,4778	0,5000	0,5222	0,5444	0,6056
	0,5713	0,0766	0,4944	0,5167	0,5556	0,6056	0,6722
	0,6071	0,0953	0,5056	0,5389	0,5833	0,6444	0,7444
	0,5903	0,0878	0,5000	0,5333	0,5722	0,6222	0,7000
	0,5864	0,0890	0,5000	0,5278	0,5667	0,6111	0,7000
	0,5675	0,0790	0,4944	0,5167	0,5500	0,5833	0,6667
	0,5673	0,0792	0,5000	0,5222	0,5500	0,5833	0,6667
	0,5680	0,0822	0,4944	0,5167	0,5500	0,5833	0,6944
	0,5744	0,1015	0,4889	0,5111	0,5444	0,5889	0,7278
	0,5641	0,0895	0,4944	0,5167	0,5389	0,5778	0,6611
	0,5630	0,0797	0,4889	0,5111	0,5444	0,5889	0,6611
	0,5618	0,0853	0,4889	0,5111	0,5389	0,5722	0,6778
	0,5554	0,0733	0,4944	0,5111	0,5389	0,5722	0,6444
	0,5587	0,0770	0,4889	0,5111	0,5389	0,5778	0,6611
