0. E1/E2 	19914 / 670	38078,9049 ms 12221/223
1. E1/E2 	13531 / 427	17337,6621 ms 10500/204
2. E1/E2 	11293 / 291	14606,2299 ms 10418/203
3. E1/E2 	9975 / 258	14198,2257 ms 10762/208
4. E1/E2 	9265 / 215	13916,0099 ms 11021/215
5. E1/E2 	8612 / 205	13714,4053 ms 11077/216
6. E1/E2 	8166 / 169	12878,9149 ms 10762/210
7. E1/E2 	7587 / 132	11940,5854 ms 10487/207
8. E1/E2 	7277 / 127	12015,0639 ms 10348/201
9. E1/E2 	6757 / 108	11560,9378 ms 10305/202
10. E1/E2 	6450 / 94	11575,6456 ms 10434/207
11. E1/E2 	6310 / 92	11254,9882 ms 10262/203
12. E1/E2 	6017 / 74	11259,3748 ms 10371/205
13. E1/E2 	5814 / 77	11189,153 ms 10244/205
14. E1/E2 	5472 / 70	11254,4749 ms 10314/207
15. E1/E2 	5421 / 75	11225,6643 ms 10337/204
16. E1/E2 	5195 / 53	11023,9815 ms 10290/208
17. E1/E2 	5156 / 50	10993,8094 ms 10264/209
18. E1/E2 	4874 / 59	10975,7337 ms 10304/209
19. E1/E2 	4772 / 49	11004,1809 ms 10341/208
20. E1/E2 	4691 / 39	10910,6239 ms 10296/204
21. E1/E2 	4549 / 34	10890,031 ms 10342/216
22. E1/E2 	4211 / 36	10927,0341 ms 10343/213
23. E1/E2 	4075 / 39	11330,3771 ms 10687/214
24. E1/E2 	4063 / 36	11083,7768 ms 10485/213
25. E1/E2 	3690 / 35	10991,3336 ms 10467/213
26. E1/E2 	3909 / 21	10884,4365 ms 10408/217
27. E1/E2 	3708 / 27	10884,9987 ms 10443/211
28. E1/E2 	3431 / 20	10883,0859 ms 10452/220
29. E1/E2 	3471 / 15	10908,5358 ms 10503/218
30. E1/E2 	3277 / 22	11027,7678 ms 10583/217
31. E1/E2 	3189 / 16	10978,4486 ms 10577/223
32. E1/E2 	3232 / 25	10948,005 ms 10495/216
33. E1/E2 	2652 / 20	11007,3735 ms 10617/218
34. E1/E2 	2879 / 9	10795,8269 ms 10458/213
35. E1/E2 	3017 / 14	10879,6173 ms 10479/215
36. E1/E2 	2868 / 9	10834,095 ms 10487/214
37. E1/E2 	2686 / 12	10817,2501 ms 10462/216
38. E1/E2 	2693 / 14	10746,2549 ms 10375/219
39. E1/E2 	2369 / 10	10731,9977 ms 10374/206
40. E1/E2 	2392 / 7	10733,4388 ms 10389/221
41. E1/E2 	2340 / 4	10771,1124 ms 10468/211
42. E1/E2 	2369 / 6	10766,8602 ms 10440/213
43. E1/E2 	2280 / 7	10689,176 ms 10362/220
44. E1/E2 	2559 / 9	10910,7414 ms 10561/216
45. E1/E2 	2302 / 8	10693,4235 ms 10363/214
46. E1/E2 	2081 / 6	10691,3917 ms 10372/219
