0. E1/E2 	19096 / 830	89023,3233 ms 22484/354
1. E1/E2 	11725 / 427	46333,2595 ms 23139/367
2. E1/E2 	9167 / 281	37837,2709 ms 23046/372
3. E1/E2 	7744 / 188	33091,0409 ms 23191/370
4. E1/E2 	6913 / 153	31054,8144 ms 23004/360
5. E1/E2 	6301 / 148	30566,6531 ms 22948/358
6. E1/E2 	5904 / 105	28533,4107 ms 23268/365
7. E1/E2 	5353 / 90	28125,7228 ms 23391/382
8. E1/E2 	5104 / 65	27025,4319 ms 23186/373
9. E1/E2 	4661 / 50	25730,9983 ms 22951/366
10. E1/E2 	4584 / 46	25711,1729 ms 22975/369
11. E1/E2 	4160 / 48	26030,5088 ms 23190/372
12. E1/E2 	3936 / 25	24724,7689 ms 22975/360
13. E1/E2 	3828 / 21	24819,9741 ms 23174/368
14. E1/E2 	3584 / 21	24692,8256 ms 23074/364
15. E1/E2 	3378 / 27	25026,1216 ms 23148/365
16. E1/E2 	3219 / 16	24467,7947 ms 23086/366
17. E1/E2 	3020 / 13	24120,5316 ms 22895/357
18. E1/E2 	3023 / 9	24173,9183 ms 23102/369
19. E1/E2 	2811 / 9	23923,7435 ms 22906/358
20. E1/E2 	2587 / 6	23962,5285 ms 23121/365
21. E1/E2 	2367 / 6	23935,231 ms 23061/362
22. E1/E2 	2320 / 5	24228,7893 ms 23403/371
23. E1/E2 	2301 / 7	24058,3389 ms 23064/371
24. E1/E2 	2389 / 5	24475,1903 ms 23550/375
25. E1/E2 	2107 / 4	24265,0375 ms 23506/372
26. E1/E2 	2054 / 4	23684,6304 ms 22878/364
27. E1/E2 	1821 / 1	23368,0462 ms 22753/359
28. E1/E2 	1753 / 4	23546,1396 ms 22807/357
29. E1/E2 	1630 / 2	23612,3606 ms 22967/361
30. E1/E2 	1737 / 2	23847,8291 ms 23174/364
31. E1/E2 	1539 / 1	23342,7108 ms 22748/360
32. E1/E2 	1637 / 1	23278,2892 ms 22650/357
33. E1/E2 	1578 / 1	23462,4452 ms 22833/364
34. E1/E2 	1455 / 2	23713,4578 ms 23045/370
35. E1/E2 	1197 / 1	23865,3808 ms 23254/370
36. E1/E2 	1253 / 0	23916,9611 ms 23379/364
37. E1/E2 	1151 / 0	23678,5639 ms 23152/360
38. E1/E2 	932 / 1	23729,9967 ms 23147/360
39. E1/E2 	1009 / 0	23885,5279 ms 23354/373
40. E1/E2 	990 / 1	24010,1497 ms 23397/376
41. E1/E2 	1140 / 0	23520,0224 ms 22989/364
42. E1/E2 	927 / 0	23857,8398 ms 23331/374
43. E1/E2 	999 / 0	23634,438 ms 23109/367
44. E1/E2 	948 / 0	23476,9879 ms 22968/357
45. E1/E2 	879 / 0	23674,6555 ms 23162/363
46. E1/E2 	765 / 0	23573,1564 ms 23072/360
47. E1/E2 	649 / 0	23580,9481 ms 23085/361
48. E1/E2 	636 / 0	23423,776 ms 22924/367
49. E1/E2 	537 / 0	23373,3387 ms 22882/365
50. E1/E2 	675 / 0	23846,4959 ms 23331/378
51. E1/E2 	594 / 0	24040,2994 ms 23527/377
52. E1/E2 	524 / 0	23974,6122 ms 23475/372
53. E1/E2 	420 / 0	24074,0256 ms 23584/369
54. E1/E2 	346 / 0	23557,7612 ms 23090/355
55. E1/E2 	412 / 0	23695,2042 ms 23219/358
56. E1/E2 	246 / 0	23459,5551 ms 22985/368
57. E1/E2 	363 / 0	23301,2533 ms 22825/362
58. E1/E2 	228 / 0	23358,7647 ms 22890/364
59. E1/E2 	250 / 0	23435,08 ms 22962/367
60. E1/E2 	274 / 0	23703,1677 ms 23219/375
61. E1/E2 	202 / 0	23393,787 ms 22936/358
62. E1/E2 	187 / 0	23465,2411 ms 23005/359
63. E1/E2 	308 / 0	23606,1169 ms 23131/366
64. E1/E2 	258 / 0	23562,6487 ms 23093/364
65. E1/E2 	154 / 0	23708,0261 ms 23228/376
66. E1/E2 	230 / 0	23755,0978 ms 23274/375
67. E1/E2 	300 / 0	23608,896 ms 23129/369
68. E1/E2 	184 / 0	23014,6595 ms 22554/361
69. E1/E2 	191 / 0	23159,28 ms 22700/358
70. E1/E2 	215 / 0	23313,3782 ms 22851/360
71. E1/E2 	238 / 0	23113,0034 ms 22653/354
72. E1/E2 	73 / 0	24537,4785 ms 24054/384
73. E1/E2 	91 / 0	23652,7439 ms 23184/372
74. E1/E2 	96 / 0	23245,3201 ms 22784/365
75. E1/E2 	59 / 0	23719,7864 ms 23252/372
76. E1/E2 	40 / 0	23368,798 ms 22910/367
77. E1/E2 	60 / 0	24597,914 ms 24110/390
78. E1/E2 	66 / 0	46296,3356 ms 45402/723
79. E1/E2 	38 / 0	169882,0275 ms 166706/2614
80. E1/E2 	124 / 0	43520,6266 ms 42668/676
81. E1/E2 	93 / 0	22651,8072 ms 22214/346
82. E1/E2 	136 / 0	23129,0851 ms 22674/357
83. E1/E2 	50 / 0	23347,6322 ms 22890/363
84. E1/E2 	87 / 0	22910,9813 ms 22459/360
85. E1/E2 	28 / 0	23651,2811 ms 23186/373
86. E1/E2 	12 / 0	23006,4457 ms 22559/358
87. E1/E2 	0 / 0	22908,6161 ms 22466/356
	FullTime = 2445317,6076 ms 
