0. E1/E2 	19580 / 1012	223319,7876 ms 22125/347
1. E1/E2 	11906 / 514	82449,6175 ms 22526/354
2. E1/E2 	9363 / 317	92368,6074 ms 23256/384
3. E1/E2 	7972 / 232	54621,0331 ms 22458/357
4. E1/E2 	7174 / 202	45973,5203 ms 22400/350
5. E1/E2 	6734 / 161	58157,8031 ms 22386/359
6. E1/E2 	6097 / 131	51574,4207 ms 22868/378
7. E1/E2 	5731 / 118	37296,9883 ms 22338/347
8. E1/E2 	5328 / 93	33556,1492 ms 22244/349
9. E1/E2 	4938 / 69	35995,8222 ms 22645/360
10. E1/E2 	4889 / 59	36886,4741 ms 23224/393
11. E1/E2 	4634 / 56	36061,0527 ms 23232/394
12. E1/E2 	4371 / 50	32361,5054 ms 22311/358
13. E1/E2 	4030 / 41	27957,984 ms 22357/354
14. E1/E2 	3892 / 32	26890,9019 ms 22448/360
15. E1/E2 	3839 / 33	28947,7275 ms 22322/358
16. E1/E2 	3597 / 25	28361,0087 ms 22279/359
17. E1/E2 	3372 / 15	26075,1864 ms 22270/359
18. E1/E2 	3291 / 16	26387,969 ms 22332/357
19. E1/E2 	3243 / 12	25382,9363 ms 22275/358
20. E1/E2 	2962 / 13	24362,908 ms 22199/352
21. E1/E2 	2861 / 15	24688,9408 ms 22350/360
22. E1/E2 	2846 / 15	24895,2704 ms 22531/366
23. E1/E2 	2636 / 9	25891,6162 ms 23196/390
24. E1/E2 	2499 / 13	28085,3006 ms 24333/429
25. E1/E2 	2439 / 7	26796,5435 ms 24431/429
26. E1/E2 	2434 / 4	26088,3669 ms 24450/426
27. E1/E2 	2413 / 4	25836,0908 ms 24373/419
28. E1/E2 	2281 / 3	25432,3802 ms 24286/416
29. E1/E2 	2055 / 2	25621,6911 ms 24712/435
30. E1/E2 	2059 / 6	26208,8709 ms 24286/419
31. E1/E2 	2062 / 3	25219,3218 ms 24217/418
32. E1/E2 	1720 / 3	24802,4628 ms 23659/405
33. E1/E2 	1748 / 0	23742,6323 ms 23152/388
34. E1/E2 	1813 / 0	22969,6616 ms 22398/361
35. E1/E2 	1556 / 2	22868,8116 ms 21925/351
36. E1/E2 	1503 / 4	23238,4495 ms 22260/353
37. E1/E2 	1550 / 1	23139,2636 ms 22484/359
38. E1/E2 	1423 / 0	22949,8391 ms 22409/358
39. E1/E2 	1493 / 2	23341,4801 ms 22348/366
40. E1/E2 	1391 / 3	23528,4927 ms 22314/359
41. E1/E2 	1275 / 0	22842,6356 ms 22305/359
42. E1/E2 	1216 / 0	22751,1717 ms 22222/357
43. E1/E2 	1085 / 1	22937,7372 ms 22305/362
44. E1/E2 	1217 / 0	22700,1208 ms 22179/350
45. E1/E2 	1205 / 0	22882,9477 ms 22357/355
46. E1/E2 	1030 / 0	22833,3442 ms 22327/353
47. E1/E2 	959 / 1	22991,5295 ms 22270/356
48. E1/E2 	1053 / 0	22753,4767 ms 22234/359
49. E1/E2 	1035 / 0	22784,1407 ms 22269/357
50. E1/E2 	820 / 0	23097,141 ms 22584/365
51. E1/E2 	941 / 0	22800,6983 ms 22291/358
52. E1/E2 	826 / 0	22742,7545 ms 22247/355
53. E1/E2 	845 / 0	22611,8797 ms 22123/348
54. E1/E2 	808 / 0	10928,7019 ms 10656/206
55. E1/E2 	847 / 0	10518,2313 ms 10251/202
56. E1/E2 	717 / 0	10579,411 ms 10311/204
57. E1/E2 	739 / 0	10513,9855 ms 10251/199
58. E1/E2 	747 / 0	10524,3936 ms 10258/203
