0. E1/E2 	516 / 116	AN: 22	46,8736 ms 
1. E1/E2 	465 / 55	AN: 25	47,2681 ms 
2. E1/E2 	417 / 50	AN: 26	31,2507 ms 
3. E1/E2 	400 / 83	AN: 26	47,2568 ms 
4. E1/E2 	420 / 82	AN: 29	46,8807 ms 
5. E1/E2 	378 / 37	AN: 31	31,2514 ms 
6. E1/E2 	390 / 46	AN: 29	47,2683 ms 
7. E1/E2 	431 / 77	AN: 32	46,8747 ms 
8. E1/E2 	411 / 53	AN: 32	47,0097 ms 
9. E1/E2 	385 / 61	AN: 38	42,4655 ms 
10. E1/E2 	380 / 42	AN: 34	35,8452 ms 
11. E1/E2 	368 / 45	AN: 35	47,1435 ms 
12. E1/E2 	306 / 31	AN: 38	40,3413 ms 
13. E1/E2 	343 / 42	AN: 40	40,3493 ms 
14. E1/E2 	412 / 71	AN: 41	42,7856 ms 
15. E1/E2 	453 / 100	AN: 41	29,8568 ms 
16. E1/E2 	356 / 43	AN: 42	54,6177 ms 
17. E1/E2 	335 / 38	AN: 43	43,7945 ms 
18. E1/E2 	295 / 28	AN: 44	34,0032 ms 
19. E1/E2 	265 / 26	AN: 43	33,8459 ms 
20. E1/E2 	239 / 21	AN: 43	49,9545 ms 
21. E1/E2 	236 / 35	AN: 44	33,0938 ms 
22. E1/E2 	267 / 35	AN: 45	49,6179 ms 
23. E1/E2 	269 / 29	AN: 50	34,1682 ms 
24. E1/E2 	321 / 50	AN: 49	48,5754 ms 
25. E1/E2 	365 / 75	AN: 51	42,5414 ms 
26. E1/E2 	254 / 33	AN: 50	22,6839 ms 
27. E1/E2 	237 / 25	AN: 49	38,6985 ms 
28. E1/E2 	231 / 32	AN: 51	26,7236 ms 
29. E1/E2 	246 / 30	AN: 52	46,8791 ms 
30. E1/E2 	254 / 34	AN: 55	43,5992 ms 
31. E1/E2 	344 / 73	AN: 55	39,3061 ms 
32. E1/E2 	230 / 29	AN: 56	46,0138 ms 
33. E1/E2 	196 / 25	AN: 56	37,3455 ms 
34. E1/E2 	186 / 13	AN: 56	36,9166 ms 
35. E1/E2 	190 / 18	AN: 57	45,3671 ms 
36. E1/E2 	227 / 30	AN: 57	33,3517 ms 
37. E1/E2 	276 / 67	AN: 57	47,9898 ms 
38. E1/E2 	223 / 29	AN: 61	35,6154 ms 
