0. E1/E2 	17721 / 2092	AN: 382	8345,6269 ms 
1. E1/E2 	8188 / 980	AN: 350	8067,5832 ms 
2. E1/E2 	4141 / 263	AN: 345	7935,1652 ms 
3. E1/E2 	2787 / 193	AN: 342	7846,1377 ms 
4. E1/E2 	7619 / 1558	AN: 370	8044,9452 ms 
5. E1/E2 	2559 / 209	AN: 360	7790,9254 ms 
6. E1/E2 	1975 / 131	AN: 360	7811,9777 ms 
7. E1/E2 	1259 / 69	AN: 360	7790,9426 ms 
8. E1/E2 	743 / 24	AN: 357	7773,5813 ms 
9. E1/E2 	469 / 12	AN: 357	7822,9834 ms 
10. E1/E2 	364 / 11	AN: 358	7778,446 ms 
11. E1/E2 	321 / 6	AN: 358	7780,4428 ms 
12. E1/E2 	249 / 5	AN: 357	7751,145 ms 
13. E1/E2 	227 / 2	AN: 357	7767,2954 ms 
14. E1/E2 	215 / 3	AN: 356	7797,4168 ms 
15. E1/E2 	189 / 2	AN: 356	7789,6899 ms 
16. E1/E2 	183 / 2	AN: 356	7776,4205 ms 
17. E1/E2 	165 / 1	AN: 356	7765,7632 ms 
18. E1/E2 	186 / 2	AN: 356	7774,8154 ms 
19. E1/E2 	157 / 2	AN: 356	7746,4044 ms 
20. E1/E2 	153 / 2	AN: 357	7769,1257 ms 
21. E1/E2 	144 / 1	AN: 357	7794,1638 ms 
22. E1/E2 	162 / 1	AN: 357	7749,3274 ms 
23. E1/E2 	135 / 1	AN: 357	7766,6564 ms 
24. E1/E2 	112 / 0	AN: 357	7747,3304 ms 
25. E1/E2 	122 / 0	AN: 357	7784,858 ms 
26. E1/E2 	98 / 1	AN: 357	7805,457 ms 
27. E1/E2 	104 / 1	AN: 357	7773,7991 ms 
28. E1/E2 	101 / 0	AN: 357	7732,7858 ms 
29. E1/E2 	105 / 1	AN: 357	7733,0147 ms 
30. E1/E2 	107 / 1	AN: 357	7800,8182 ms 
31. E1/E2 	95 / 0	AN: 357	7748,0506 ms 
32. E1/E2 	79 / 1	AN: 357	7868,1691 ms 
33. E1/E2 	68 / 1	AN: 357	7734,5292 ms 
34. E1/E2 	74 / 1	AN: 357	7712,9026 ms 
35. E1/E2 	77 / 0	AN: 357	7767,8885 ms 
36. E1/E2 	159 / 1	AN: 357	7735,0311 ms 
37. E1/E2 	184 / 0	AN: 357	7697,0137 ms 
38. E1/E2 	134 / 0	AN: 357	7785,7867 ms 
39. E1/E2 	144 / 0	AN: 357	7728,9505 ms 
40. E1/E2 	137 / 1	AN: 357	7782,2872 ms 
41. E1/E2 	127 / 0	AN: 357	7735,902 ms 
42. E1/E2 	106 / 1	AN: 357	7764,0369 ms 
43. E1/E2 	121 / 0	AN: 357	7787,0869 ms 
44. E1/E2 	101 / 1	AN: 357	7762,5459 ms 
45. E1/E2 	101 / 1	AN: 357	7722,0167 ms 
46. E1/E2 	104 / 1	AN: 357	7779,3569 ms 
47. E1/E2 	107 / 1	AN: 357	7760,8703 ms 
48. E1/E2 	111 / 1	AN: 357	7787,5115 ms 
49. E1/E2 	99 / 1	AN: 357	7828,3138 ms 
50. E1/E2 	128 / 0	AN: 357	7799,9199 ms 
51. E1/E2 	84 / 0	AN: 357	7736,1038 ms 
52. E1/E2 	80 / 0	AN: 357	7766,0901 ms 
53. E1/E2 	86 / 0	AN: 357	7746,3853 ms 
54. E1/E2 	89 / 1	AN: 357	7768,4589 ms 
55. E1/E2 	67 / 0	AN: 357	7763,2042 ms 
56. E1/E2 	77 / 0	AN: 357	7834,7276 ms 
57. E1/E2 	82 / 1	AN: 357	7751,4915 ms 
58. E1/E2 	73 / 0	AN: 357	7764,2627 ms 
59. E1/E2 	98 / 0	AN: 357	7800,0212 ms 
60. E1/E2 	66 / 1	AN: 357	7829,7945 ms 
61. E1/E2 	66 / 1	AN: 357	7767,9295 ms 
62. E1/E2 	64 / 1	AN: 357	7714,442 ms 
63. E1/E2 	79 / 0	AN: 357	7786,9153 ms 
64. E1/E2 	73 / 1	AN: 357	7782,4436 ms 
65. E1/E2 	72 / 1	AN: 357	7766,6857 ms 
66. E1/E2 	82 / 1	AN: 357	7766,5971 ms 
67. E1/E2 	63 / 0	AN: 357	7745,3462 ms 
68. E1/E2 	56 / 0	AN: 357	7762,6329 ms 
69. E1/E2 	58 / 0	AN: 357	7756,3033 ms 
70. E1/E2 	75 / 0	AN: 357	7745,5904 ms 
71. E1/E2 	57 / 0	AN: 357	7736,914 ms 
72. E1/E2 	67 / 0	AN: 357	7765,9751 ms 
73. E1/E2 	75 / 0	AN: 357	7777,967 ms 
74. E1/E2 	74 / 1	AN: 357	7836,6736 ms 
75. E1/E2 	78 / 1	AN: 357	7759,5808 ms 
76. E1/E2 	62 / 0	AN: 357	7748,4662 ms 
77. E1/E2 	54 / 0	AN: 357	7727,3881 ms 
78. E1/E2 	57 / 1	AN: 357	7737,9788 ms 
79. E1/E2 	64 / 1	AN: 357	7759,7396 ms 
