66. E1/E2 	566 / 6	6899,7053 ms 2348/4044	P: 0,1112-0,1161-0,3536
67. E1/E2 	573 / 6	6883,9941 ms 2374/4044	P: 0,1112-0,1161-0,3536
68. E1/E2 	538 / 1	6452,1792 ms 2386/3822	P: 0,1112-0,1161-0,3536
69. E1/E2 	544 / 1	6636,721 ms 2349/4002	P: 0,1112-0,1161-0,3536
70. E1/E2 	514 / 3	6756,244 ms 2359/4046	P: 0,1112-0,1161-0,3536
71. E1/E2 	517 / 0	6393,6139 ms 2377/3808	P: 0,1112-0,1161-0,3536
72. E1/E2 	498 / 4	6893,7747 ms 2378/4129	P: 0,1112-0,1161-0,3536
73. E1/E2 	531 / 3	6794,1871 ms 2385/4054	P: 0,1112-0,1161-0,3536
74. E1/E2 	484 / 1	6686,3223 ms 2408/4035	P: 0,1112-0,1161-0,3536
75. E1/E2 	483 / 4	6791,1953 ms 2365/4066	P: 0,1112-0,1161-0,3536
76. E1/E2 	461 / 3	6809,1039 ms 2350/4131	P: 0,1112-0,1161-0,3536
77. E1/E2 	504 / 2	6675,6406 ms 2370/4011	P: 0,1112-0,1161-0,3536
78. E1/E2 	490 / 1	6800,0905 ms 2380/4166	P: 0,1112-0,1161-0,3536
79. E1/E2 	474 / 3	6691,4665 ms 2352/3983	P: 0,1112-0,1161-0,3536
80. E1/E2 	444 / 4	6711,3105 ms 2354/4002	P: 0,1112-0,1161-0,3536
81. E1/E2 	463 / 1	6564,4768 ms 2342/3990	P: 0,1112-0,1161-0,3536
82. E1/E2 	428 / 0	6679,9122 ms 2384/4111	P: 0,1112-0,1161-0,3536
83. E1/E2 	386 / 3	6704,1516 ms 2379/4041	P: 0,1112-0,1161-0,3536
84. E1/E2 	416 / 1	6597,6032 ms 2405/3969	P: 0,1112-0,1161-0,3536
85. E1/E2 	386 / 3	6683,5012 ms 2352/4040	P: 0,1112-0,1161-0,3536
86. E1/E2 	386 / 1	6675,2477 ms 2376/4094	P: 0,1112-0,1161-0,3536
87. E1/E2 	362 / 1	6656,9983 ms 2378/4079	P: 0,1112-0,1161-0,3536
