float p3 = 0.000003f;
float correct3 = 0.00001f;


67. E1/E2 	234 / 0	1395,4267 ms 1384/8	P: 0,1112-0,1130-0,2086
68. E1/E2 	178 / 0	1375,6586 ms 1364/7	P: 0,1112-0,1130-0,2086
69. E1/E2 	222 / 0	1368,8439 ms 1357/7	P: 0,1112-0,1130-0,2086
70. E1/E2 	178 / 1	1398,4363 ms 1367/8	P: 0,1112-0,1130-0,2086
71. E1/E2 	190 / 0	1389,0537 ms 1377/8	P: 0,1112-0,1130-0,2086
72. E1/E2 	223 / 0	1386,9639 ms 1376/7	P: 0,1112-0,1130-0,2086
73. E1/E2 	187 / 0	1386,314 ms 1375/7	P: 0,1112-0,1130-0,2086
74. E1/E2 	219 / 0	1376,5264 ms 1365/8	P: 0,1112-0,1130-0,2086
75. E1/E2 	161 / 1	1389,6343 ms 1358/8	P: 0,1112-0,1130-0,2086
76. E1/E2 	123 / 0	1376,3844 ms 1365/8	P: 0,1112-0,1130-0,2086
77. E1/E2 	149 / 0	1400,2843 ms 1389/8	P: 0,1112-0,1130-0,2086
78. E1/E2 	140 / 0	1386,365 ms 1375/8	P: 0,1112-0,1130-0,2086
79. E1/E2 	82 / 0	1369,0548 ms 1358/7	P: 0,1112-0,1130-0,2086
80. E1/E2 	93 / 0	1369,5533 ms 1358/8	P: 0,1112-0,1130-0,2086
81. E1/E2 	130 / 0	1376,1652 ms 1365/8	P: 0,1112-0,1130-0,2086
82. E1/E2 	117 / 0	1368,6494 ms 1357/7	P: 0,1112-0,1130-0,2086
83. E1/E2 	124 / 0	1368,829 ms 1358/7	P: 0,1112-0,1130-0,2086
84. E1/E2 	104 / 0	1366,5383 ms 1355/7	P: 0,1112-0,1130-0,2086
85. E1/E2 	75 / 0	1378,717 ms 1367/8	P: 0,1112-0,1130-0,2086
86. E1/E2 	53 / 0	1368,0441 ms 1357/8	P: 0,1112-0,1130-0,2086
87. E1/E2 	60 / 0	1365,2419 ms 1354/8	P: 0,1112-0,1130-0,2086
88. E1/E2 	63 / 0	1382,9742 ms 1372/8	P: 0,1112-0,1130-0,2086
89. E1/E2 	43 / 0	1368,7011 ms 1357/8	P: 0,1112-0,1130-0,2086
90. E1/E2 	71 / 1	1391,5571 ms 1362/8	P: 0,1112-0,1130-0,2086
91. E1/E2 	77 / 0	1372,0248 ms 1361/7	P: 0,1112-0,1130-0,2086
92. E1/E2 	60 / 0	1379,2879 ms 1368/8	P: 0,1112-0,1130-0,2086
93. E1/E2 	60 / 0	1382,6172 ms 1371/8	P: 0,1112-0,1130-0,2086
94. E1/E2 	48 / 0	1373,3901 ms 1362/8	P: 0,1112-0,1130-0,2086
95. E1/E2 	15 / 0	1392,7535 ms 1381/8	P: 0,1112-0,1130-0,2086
96. E1/E2 	32 / 0	1381,1448 ms 1370/8	P: 0,1112-0,1130-0,2086
97. E1/E2 	58 / 0	1381,0905 ms 1370/8	P: 0,1112-0,1130-0,2086
98. E1/E2 	52 / 0	1386,7635 ms 1376/7	P: 0,1112-0,1130-0,2086
99. E1/E2 	30 / 0	1366,5866 ms 1355/8	P: 0,1112-0,1130-0,2086
100. E1/E2 	15 / 0	1367,3333 ms 1356/8	P: 0,1112-0,1130-0,2086
101. E1/E2 	48 / 0	1374,0868 ms 1363/7	P: 0,1112-0,1130-0,2086
102. E1/E2 	54 / 0	1383,1544 ms 1372/8	P: 0,1112-0,1130-0,2086
103. E1/E2 	24 / 0	1371,4156 ms 1360/8	P: 0,1112-0,1130-0,2086
104. E1/E2 	38 / 0	1373,8074 ms 1363/7	P: 0,1112-0,1130-0,2086
105. E1/E2 	49 / 0	1410,5897 ms 1399/8	P: 0,1112-0,1130-0,2086
106. E1/E2 	45 / 0	1385,9425 ms 1374/8	P: 0,1112-0,1130-0,2086
107. E1/E2 	62 / 0	1372,9339 ms 1361/8	P: 0,1112-0,1130-0,2086
108. E1/E2 	37 / 0	1381,6588 ms 1370/8	P: 0,1112-0,1130-0,2086
109. E1/E2 	39 / 0	1376,5628 ms 1365/8	P: 0,1112-0,1130-0,2086
110. E1/E2 	76 / 0	1386,0764 ms 1374/8	P: 0,1112-0,1130-0,2086
111. E1/E2 	68 / 0	1398,3026 ms 1386/8	P: 0,1112-0,1130-0,2086
112. E1/E2 	35 / 0	1380,0764 ms 1369/8	P: 0,1112-0,1130-0,2086
113. E1/E2 	28 / 0	1386,4452 ms 1375/8	P: 0,1112-0,1130-0,2086
114. E1/E2 	4 / 0	1382,8691 ms 1371/8	P: 0,1112-0,1130-0,2086
115. E1/E2 	0 / 0	1381,0545 ms 1369/8	P: 0,1112-0,1130-0,2086
	FullTime = 1702212,2856 ms 
