67. E1/E2 	222 / 0	3292,4848 ms 3264/18	P: 0,1112-0,1122-0,1315
68. E1/E2 	232 / 1	3419,7671 ms 3360/18	P: 0,1112-0,1122-0,1315
69. E1/E2 	256 / 1	3342,3491 ms 3269/18	P: 0,1112-0,1122-0,1315
70. E1/E2 	309 / 0	3237,8963 ms 3208/18	P: 0,1112-0,1122-0,1315
71. E1/E2 	263 / 1	3184,5543 ms 3104/18	P: 0,1112-0,1122-0,1315
72. E1/E2 	284 / 2	3249,9065 ms 3138/18	P: 0,1112-0,1122-0,1315
73. E1/E2 	228 / 0	3380,1205 ms 3351/17	P: 0,1112-0,1122-0,1315
74. E1/E2 	287 / 1	3306,6998 ms 3236/18	P: 0,1112-0,1122-0,1315
75. E1/E2 	270 / 1	3306,7373 ms 3213/17	P: 0,1112-0,1122-0,1315
76. E1/E2 	241 / 0	3170,6069 ms 3146/15	P: 0,1112-0,1122-0,1315
77. E1/E2 	259 / 1	3244,0366 ms 3208/16	P: 0,1112-0,1122-0,1315
78. E1/E2 	210 / 0	3246,4878 ms 3218/18	P: 0,1112-0,1122-0,1315
79. E1/E2 	231 / 0	3253,3981 ms 3225/17	P: 0,1112-0,1122-0,1315
80. E1/E2 	217 / 0	3238,5521 ms 3209/19	P: 0,1112-0,1122-0,1315
81. E1/E2 	232 / 0	3342,8105 ms 3312/19	P: 0,1112-0,1122-0,1315
82. E1/E2 	243 / 0	3129,6 ms 3102/17	P: 0,1112-0,1122-0,1315
83. E1/E2 	243 / 1	3291,0737 ms 3252/15	P: 0,1112-0,1122-0,1315
84. E1/E2 	236 / 1	3248,8245 ms 3179/18	P: 0,1112-0,1122-0,1315
85. E1/E2 	210 / 1	3426,094 ms 3357/17	P: 0,1112-0,1122-0,1315
86. E1/E2 	172 / 0	3332,3582 ms 3303/19	P: 0,1112-0,1122-0,1315
87. E1/E2 	167 / 0	3293,4074 ms 3266/18	P: 0,1112-0,1122-0,1315
88. E1/E2 	238 / 0	3404,4815 ms 3374/19	P: 0,1112-0,1122-0,1315
89. E1/E2 	248 / 0	3230,6659 ms 3202/18	P: 0,1112-0,1122-0,1315
90. E1/E2 	182 / 0	3305,2509 ms 3277/18	P: 0,1112-0,1122-0,1315
91. E1/E2 	163 / 0	3228,7874 ms 3201/18	P: 0,1112-0,1122-0,1315
92. E1/E2 	151 / 0	3280,2491 ms 3253/17	P: 0,1112-0,1122-0,1315
93. E1/E2 	153 / 1	3273,2328 ms 3196/18	P: 0,1112-0,1122-0,1315
94. E1/E2 	206 / 0	3266,0821 ms 3238/17	P: 0,1112-0,1122-0,1315
95. E1/E2 	121 / 0	3201,0577 ms 3172/19	P: 0,1112-0,1122-0,1315
96. E1/E2 	137 / 0	3114,2793 ms 3084/20	P: 0,1112-0,1122-0,1315
97. E1/E2 	113 / 0	3208,0353 ms 3181/18	P: 0,1112-0,1122-0,1315
98. E1/E2 	146 / 0	3276,0437 ms 3249/17	P: 0,1112-0,1122-0,1315
99. E1/E2 	118 / 0	3314,2057 ms 3287/18	P: 0,1112-0,1122-0,1315
100. E1/E2 	151 / 0	3299,0735 ms 3274/15	P: 0,1112-0,1122-0,1315
101. E1/E2 	117 / 0	3239,0568 ms 3215/15	P: 0,1112-0,1122-0,1315
102. E1/E2 	108 / 1	3283,9082 ms 3249/15	P: 0,1112-0,1122-0,1315
103. E1/E2 	130 / 0	3306,9134 ms 3277/19	P: 0,1112-0,1122-0,1315
