	0,5635	0,0636	0,4889	0,5167	0,5556	0,6000	0,6556
	0,6245	0,0932	0,5167	0,5556	0,6056	0,6889	0,7722
	0,6344	0,0914	0,5222	0,5722	0,6167	0,7056	0,7722
	0,6495	0,1136	0,5167	0,5667	0,6222	0,7278	0,8389
	0,6547	0,1100	0,5222	0,5722	0,6333	0,7500	0,8222
	0,6482	0,1040	0,5167	0,5778	0,6333	0,7222	0,8000
	0,6439	0,0962	0,5222	0,5722	0,6333	0,7167	0,7889
	0,6563	0,1146	0,5278	0,5722	0,6278	0,7556	0,8333
	0,6600	0,1115	0,5167	0,5778	0,6444	0,7389	0,8333
	0,6573	0,1013	0,5222	0,5833	0,6556	0,7333	0,8000
	0,6600	0,1155	0,5222	0,5778	0,6333	0,7556	0,8389
	0,6589	0,1128	0,5222	0,5722	0,6333	0,7389	0,8389
	0,6554	0,0938	0,5444	0,5833	0,6444	0,7167	0,7944
	0,6572	0,1080	0,5333	0,5722	0,6389	0,7278	0,8333
	0,6578	0,1091	0,5222	0,5722	0,6389	0,7333	0,8278
	0,6664	0,1101	0,5333	0,5833	0,6500	0,7389	0,8333
	0,6650	0,1110	0,5333	0,5833	0,6500	0,7444	0,8333
	0,6653	0,1131	0,5333	0,5778	0,6444	0,7611	0,8389
	0,6628	0,1095	0,5278	0,5778	0,6500	0,7333	0,8333
	0,6624	0,1053	0,5278	0,5778	0,6556	0,7389	0,8167
	0,6635	0,1065	0,5333	0,5833	0,6556	0,7333	0,8278
	0,6579	0,1077	0,5278	0,5722	0,6389	0,7500	0,8167
	0,6612	0,1147	0,5333	0,5778	0,6333	0,7389	0,8444
	0,6585	0,1057	0,5222	0,5889	0,6444	0,7333	0,8000
	0,6604	0,1029	0,5278	0,5833	0,6444	0,7389	0,8111
	0,6666	0,1083	0,5389	0,5778	0,6556	0,7444	0,8278
	0,6721	0,1164	0,5278	0,5833	0,6556	0,7611	0,8444
	0,6647	0,1111	0,5222	0,5778	0,6611	0,7389	0,8444
	0,6540	0,1040	0,5278	0,5778	0,6333	0,7333	0,8000
	0,6663	0,1097	0,5389	0,5778	0,6500	0,7556	0,8222
	0,6711	0,1148	0,5389	0,5833	0,6444	0,7722	0,8444
	0,6718	0,1176	0,5333	0,5833	0,6444	0,7722	0,8500
	0,6749	0,1187	0,5333	0,5944	0,6500	0,7722	0,8611
	0,6681	0,1155	0,5278	0,5722	0,6500	0,7556	0,8444
	0,6629	0,1146	0,5278	0,5778	0,6444	0,7500	0,8444
	0,6649	0,1070	0,5389	0,5889	0,6444	0,7500	0,8222
	0,6640	0,1095	0,5333	0,5778	0,6500	0,7444	0,8333
	0,6674	0,1146	0,5389	0,5778	0,6389	0,7556	0,8500
	0,6644	0,1088	0,5333	0,5889	0,6389	0,7556	0,8278
	0,6596	0,1087	0,5278	0,5778	0,6444	0,7389	0,8278
	0,6683	0,1100	0,5389	0,5778	0,6556	0,7500	0,8278
	0,6667	0,1080	0,5278	0,5833	0,6556	0,7556	0,8222
	0,6716	0,1201	0,5389	0,5778	0,6444	0,7722	0,8611
	0,6655	0,1115	0,5222	0,5833	0,6500	0,7500	0,8222
	0,6593	0,1031	0,5278	0,5778	0,6500	0,7444	0,8056
	0,6705	0,1106	0,5333	0,5778	0,6611	0,7611	0,8222
	0,6673	0,1162	0,5222	0,5778	0,6444	0,7722	0,8444
	0,6668	0,1099	0,5333	0,5778	0,6556	0,7444	0,8278
	0,6709	0,1151	0,5333	0,5889	0,6500	0,7556	0,8444
