0. E1/E2 	6897 / 915	198,4343 ms 
1. E1/E2 	4523 / 481	194,4395 ms 
2. E1/E2 	3729 / 525	65,885 ms 
3. E1/E2 	1631 / 86	39,1862 ms 
4. E1/E2 	1057 / 40	35,1996 ms 
5. E1/E2 	870 / 29	34,66 ms 
6. E1/E2 	575 / 18	33,0861 ms 
7. E1/E2 	371 / 8	32,6422 ms 
8. E1/E2 	323 / 6	32,0069 ms 
9. E1/E2 	270 / 10	31,9298 ms 
10. E1/E2 	358 / 10	31,8306 ms 
11. E1/E2 	307 / 9	32,1608 ms 
12. E1/E2 	339 / 11	31,6987 ms 
13. E1/E2 	2931 / 907	80,5958 ms 
14. E1/E2 	1430 / 138	36,8904 ms 
15. E1/E2 	439 / 20	29,336 ms 
16. E1/E2 	263 / 11	28,177 ms 
17. E1/E2 	194 / 4	27,9339 ms 
18. E1/E2 	214 / 5	28,5283 ms 
19. E1/E2 	187 / 4	28,6709 ms 
20. E1/E2 	118 / 4	28,188 ms 
21. E1/E2 	128 / 1	28,5192 ms 
22. E1/E2 	130 / 3	28,2913 ms 
23. E1/E2 	81 / 1	28,1431 ms 
24. E1/E2 	84 / 1	28,6327 ms 
25. E1/E2 	56 / 0	27,1523 ms 
26. E1/E2 	79 / 1	27,6878 ms 
27. E1/E2 	72 / 1	27,7732 ms 
28. E1/E2 	86 / 3	28,6465 ms 
29. E1/E2 	87 / 1	27,8126 ms 
30. E1/E2 	58 / 0	29,1437 ms 
31. E1/E2 	75 / 1	30,1629 ms 
32. E1/E2 	62 / 1	32,006 ms 
33. E1/E2 	50 / 2	28,9775 ms 
34. E1/E2 	48 / 0	28,0875 ms 
35. E1/E2 	42 / 1	27,2976 ms 
36. E1/E2 	40 / 2	27,504 ms 
37. E1/E2 	26 / 0	27,637 ms 
38. E1/E2 	28 / 1	28,1078 ms 
39. E1/E2 	36 / 1	28,2295 ms 
40. E1/E2 	46 / 2	27,9481 ms 
41. E1/E2 	29 / 0	27,2904 ms 
42. E1/E2 	25 / 0	27,287 ms 
43. E1/E2 	24 / 1	27,8764 ms 
44. E1/E2 	28 / 0	27,5807 ms 
45. E1/E2 	18 / 0	28,0793 ms 
46. E1/E2 	29 / 0	27,0296 ms 
47. E1/E2 	28 / 1	28,0934 ms 
48. E1/E2 	30 / 1	29,3668 ms 
49. E1/E2 	22 / 1	27,6602 ms 
50. E1/E2 	2 / 1	27,4143 ms 
51. E1/E2 	11 / 0	28,3814 ms 
52. E1/E2 	16 / 0	28,4887 ms 
53. E1/E2 	13 / 0	27,7813 ms 
54. E1/E2 	10 / 1	28,632 ms 
55. E1/E2 	18 / 2	28,7397 ms 
56. E1/E2 	13 / 0	27,9042 ms 
57. E1/E2 	14 / 1	29,1839 ms 
58. E1/E2 	13 / 1	28,2764 ms 
59. E1/E2 	16 / 1	27,1212 ms 
60. E1/E2 	16 / 1	27,5406 ms 
61. E1/E2 	5 / 0	27,7776 ms 
62. E1/E2 	12 / 1	27,0064 ms 
63. E1/E2 	17 / 1	26,9048 ms 
64. E1/E2 	21 / 0	28,0401 ms 
65. E1/E2 	17 / 1	28,8504 ms 
66. E1/E2 	18 / 0	27,1312 ms 
67. E1/E2 	13 / 1	27,102 ms 
68. E1/E2 	18 / 1	27,1116 ms 
69. E1/E2 	11 / 1	27,1519 ms 
70. E1/E2 	10 / 1	27,605 ms 
71. E1/E2 	9 / 1	26,9481 ms 
72. E1/E2 	10 / 1	28,2118 ms 
73. E1/E2 	14 / 0	26,6213 ms 
74. E1/E2 	1 / 0	28,056 ms 
75. E1/E2 	0 / 0	27,7716 ms 
	FullTime = 2673,4208 ms 
