0. E1/E2 	26179 / 2004	7860,0023 ms 
1. E1/E2 	8223 / 1125	9064,0177 ms 
2. E1/E2 	889 / 7	8439,9168 ms 
3. E1/E2 	484 / 4	8530,9006 ms 
4. E1/E2 	622 / 5	8531,5024 ms 
5. E1/E2 	346 / 5	8549,7195 ms 
6. E1/E2 	485 / 6	8492,4844 ms 
7. E1/E2 	459 / 5	8543,3584 ms 
8. E1/E2 	477 / 4	8614,3677 ms 
9. E1/E2 	397 / 2	8348,0072 ms 
10. E1/E2 	311 / 2	8480,7529 ms 
11. E1/E2 	274 / 5	8503,8175 ms 
12. E1/E2 	220 / 2	8434,4753 ms 
13. E1/E2 	184 / 2	8436,6384 ms 
14. E1/E2 	146 / 1	8334,988 ms 
15. E1/E2 	239 / 2	8422,5703 ms 
16. E1/E2 	185 / 2	8423,1365 ms 
17. E1/E2 	163 / 1	8434,6806 ms 
18. E1/E2 	157 / 1	8356,0392 ms 
19. E1/E2 	227 / 3	8409,1033 ms 
20. E1/E2 	310 / 3	8437,1372 ms 
21. E1/E2 	270 / 1	8451,4202 ms 
22. E1/E2 	200 / 1	8545,4088 ms 
23. E1/E2 	203 / 1	8400,6457 ms 
24. E1/E2 	187 / 2	8376,0136 ms 
25. E1/E2 	132 / 1	8418,4844 ms 
26. E1/E2 	118 / 1	8340,7476 ms 
27. E1/E2 	110 / 1	8413,4251 ms 
28. E1/E2 	102 / 2	8840,8568 ms 
29. E1/E2 	69 / 0	8441,9687 ms 
30. E1/E2 	92 / 1	8501,0323 ms 
31. E1/E2 	77 / 0	8493,5182 ms 
32. E1/E2 	62 / 1	8498,494 ms 
33. E1/E2 	52 / 1	8412,5574 ms 
34. E1/E2 	33 / 1	8506,1063 ms 
35. E1/E2 	60 / 0	8488,1155 ms 
36. E1/E2 	37 / 0	8618,4503 ms 
37. E1/E2 	44 / 2	8562,128 ms 
38. E1/E2 	38 / 0	8448,1823 ms 
39. E1/E2 	42 / 1	8334,3699 ms 
40. E1/E2 	23 / 1	8454,9475 ms 
41. E1/E2 	42 / 0	8396,2464 ms 
42. E1/E2 	30 / 0	8411,0821 ms 
43. E1/E2 	22 / 1	8418,8839 ms 
44. E1/E2 	18 / 1	8406,2053 ms 
45. E1/E2 	31 / 0	8402,3016 ms 
46. E1/E2 	35 / 0	8409,2617 ms 
47. E1/E2 	38 / 1	8293,9665 ms 
48. E1/E2 	24 / 1	8413,6218 ms 
49. E1/E2 	25 / 0	8410,7245 ms 
50. E1/E2 	16 / 0	8527,3445 ms 
51. E1/E2 	23 / 1	8529,5617 ms 
52. E1/E2 	20 / 0	8430,5714 ms 
53. E1/E2 	14 / 0	8420,7939 ms 
54. E1/E2 	42 / 1	8411,6322 ms 
55. E1/E2 	16 / 0	8413,3667 ms 
56. E1/E2 	37 / 1	8407,3836 ms 
57. E1/E2 	9 / 1	8389,7972 ms 
58. E1/E2 	27 / 0	8391,2268 ms 
59. E1/E2 	13 / 1	8453,9517 ms 
60. E1/E2 	29 / 1	8411,2998 ms 
61. E1/E2 	21 / 1	8408,4881 ms 
62. E1/E2 	32 / 0	8412,372 ms 
63. E1/E2 	41 / 1	8412,8378 ms 
64. E1/E2 	18 / 0	8492,3021 ms 
65. E1/E2 	2 / 0	8523,4141 ms 
66. E1/E2 	0 / 0	8407,9577 ms 
	FullTime = 566404,1762 ms 
