0 - 8189 	loss=128,16777792572975
1 - 8033 	loss=127,98739396035671
2 - 7933 	loss=127,89132779836655
3 - 7676 	loss=127,72380223870277
4 - 7225 	loss=127,37328325212002
5 - 6668 	loss=126,76857393980026
6 - 6196 	loss=125,94217492640018
7 - 5825 	loss=124,87166537344456
8 - 5512 	loss=123,73270107805729
9 - 5288 	loss=122,67835129797459
10 - 5122 	loss=121,64828419685364
11 - 4978 	loss=120,65750601887703
12 - 4865 	loss=119,69052849709988
13 - 4733 	loss=118,73272643983364
14 - 4596 	loss=117,76961705088615
15 - 4488 	loss=116,795126542449
16 - 4374 	loss=115,79660825431347
17 - 4249 	loss=114,78656125068665
18 - 4132 	loss=113,7762702703476
19 - 4003 	loss=112,77675941586494
20 - 3890 	loss=111,77225191891193
21 - 3800 	loss=110,76343709230423
22 - 3697 	loss=109,78020560741425
23 - 3599 	loss=108,81362903118134
24 - 3498 	loss=107,85714177787304
25 - 3417 	loss=106,92614966630936
26 - 3335 	loss=105,99404175579548
27 - 3280 	loss=105,08929611742496
28 - 3220 	loss=104,18680329620838
29 - 3169 	loss=103,29761235415936
30 - 3117 	loss=102,40270802378654
31 - 3070 	loss=101,54039396345615
32 - 3012 	loss=100,69225563108921
33 - 2937 	loss=99,837566614151
34 - 2891 	loss=98,98730163276196
35 - 2828 	loss=98,16328084468842
36 - 2783 	loss=97,35402373969555
37 - 2721 	loss=96,54913812875748
38 - 2669 	loss=95,74079133570194
39 - 2602 	loss=94,93736484646797
40 - 2565 	loss=94,13354237377644
41 - 2517 	loss=93,31418959796429
42 - 2469 	loss=92,48281742632389
43 - 2419 	loss=91,65684266388416
44 - 2380 	loss=90,8073942810297
45 - 2337 	loss=89,98221890628338
46 - 2299 	loss=89,15737789869308
47 - 2259 	loss=88,35508888959885
48 - 2215 	loss=87,56967191398144
49 - 2168 	loss=86,78241270780563
50 - 2133 	loss=86,00584001839161
51 - 2100 	loss=85,24726432561874
52 - 2071 	loss=84,47803315520287
53 - 2038 	loss=83,71218998730183
54 - 2010 	loss=82,96020796895027
55 - 1985 	loss=82,22065813839436
56 - 1948 	loss=81,49944618344307
57 - 1927 	loss=80,78952716290951
58 - 1902 	loss=80,09837444871664
59 - 1875 	loss=79,43082143366337
60 - 1867 	loss=78,77730075269938
61 - 1850 	loss=78,13776510953903
62 - 1828 	loss=77,51108764857054
63 - 1805 	loss=76,89579930901527
64 - 1784 	loss=76,2861609607935
65 - 1766 	loss=75,6899958923459
66 - 1754 	loss=75,11182941496372
67 - 1736 	loss=74,51620513945818
68 - 1727 	loss=73,95108117163181
69 - 1706 	loss=73,36566875129938
70 - 1681 	loss=72,79464349895716
71 - 1666 	loss=72,23390236496925
72 - 1654 	loss=71,67871740460396
73 - 1640 	loss=71,13134529441595
74 - 1622 	loss=70,5811898112297
75 - 1621 	loss=70,06087352335453
76 - 1610 	loss=69,52150037884712
77 - 1594 	loss=69,00446716696024
78 - 1581 	loss=68,48531896620989
79 - 1572 	loss=67,9880508184433
80 - 1553 	loss=67,49563737213612
81 - 1540 	loss=67,00088232755661
82 - 1534 	loss=66,5359425470233
83 - 1522 	loss=66,06404060870409
84 - 1507 	loss=65,61579988896847
85 - 1498 	loss=65,17313520610332
86 - 1496 	loss=64,7235701456666
87 - 1489 	loss=64,29137840121984
88 - 1472 	loss=63,86194722354412
89 - 1461 	loss=63,446108750998974
90 - 1451 	loss=63,038326136767864
91 - 1443 	loss=62,63023176789284
92 - 1441 	loss=62,23552130162716
93 - 1430 	loss=61,82312075048685
94 - 1423 	loss=61,4365543872118
95 - 1409 	loss=61,0415308624506
96 - 1403 	loss=60,65878064930439
97 - 1392 	loss=60,27133817970753
98 - 1386 	loss=59,89327947050333
99 - 1373 	loss=59,518262431025505
100 - 1367 	loss=59,144744619727135
101 - 1355 	loss=58,78643488883972
102 - 1346 	loss=58,42686649411917
103 - 1338 	loss=58,077872425317764
104 - 1329 	loss=57,73439618945122
105 - 1326 	loss=57,39393962174654
106 - 1319 	loss=57,05725451558828
107 - 1316 	loss=56,724807895720005
108 - 1315 	loss=56,39714674651623
109 - 1304 	loss=56,07347521930933
110 - 1297 	loss=55,74494993686676
111 - 1291 	loss=55,428373485803604
112 - 1284 	loss=55,111177399754524
113 - 1278 	loss=54,80213138461113
114 - 1272 	loss=54,494648069143295
115 - 1267 	loss=54,191587157547474
116 - 1265 	loss=53,89064849168062
117 - 1256 	loss=53,593174904584885
118 - 1250 	loss=53,29555944353342
119 - 1245 	loss=52,99639339372516
120 - 1238 	loss=52,70122465863824
121 - 1230 	loss=52,41372935473919
122 - 1223 	loss=52,130123265087605
123 - 1218 	loss=51,8457120731473
124 - 1209 	loss=51,56407077237964
125 - 1205 	loss=51,285351894795895
126 - 1198 	loss=51,01654837280512
127 - 1193 	loss=50,74219290167093
128 - 1184 	loss=50,47898482903838
129 - 1177 	loss=50,21407153084874
130 - 1174 	loss=49,94723054766655
131 - 1169 	loss=49,69722016900778
132 - 1162 	loss=49,434278663247824
133 - 1154 	loss=49,17996774986386
134 - 1152 	loss=48,94286638125777
135 - 1148 	loss=48,69788948446512
136 - 1140 	loss=48,4629783295095
137 - 1131 	loss=48,232415571808815
138 - 1131 	loss=47,99725467711687
139 - 1124 	loss=47,774950947612524
140 - 1126 	loss=47,551969569176435
141 - 1121 	loss=47,3347455188632
142 - 1117 	loss=47,113339334726334
143 - 1113 	loss=46,89385745301843
144 - 1110 	loss=46,68441220745444
145 - 1108 	loss=46,46946790441871
146 - 1101 	loss=46,26103654503822
147 - 1096 	loss=46,05784309282899
148 - 1090 	loss=45,850832249969244
149 - 1088 	loss=45,65105051547289
150 - 1082 	loss=45,445850752294064
151 - 1079 	loss=45,24641780555248
152 - 1077 	loss=45,048300825059414
153 - 1069 	loss=44,85450742393732
154 - 1065 	loss=44,65591089054942
155 - 1057 	loss=44,45725853741169
156 - 1051 	loss=44,26724800094962
157 - 1049 	loss=44,07385881245136
158 - 1045 	loss=43,88762729987502
159 - 1045 	loss=43,69148035347462
160 - 1041 	loss=43,50580037385225
161 - 1041 	loss=43,31738416478038
162 - 1041 	loss=43,13082233443856
163 - 1039 	loss=42,948447324335575
164 - 1031 	loss=42,76566772162914
165 - 1032 	loss=42,58508192375302
166 - 1029 	loss=42,40831294283271
167 - 1024 	loss=42,228000823408365
168 - 1025 	loss=42,05567227303982
169 - 1018 	loss=41,88438803330064
170 - 1018 	loss=41,71327915787697
171 - 1017 	loss=41,54644996672869
172 - 1017 	loss=41,38166905939579
173 - 1016 	loss=41,214629370719194
174 - 1012 	loss=41,05692558735609
175 - 1009 	loss=40,891810186207294
176 - 1001 	loss=40,73344171792269
177 - 1001 	loss=40,56962360069156
178 - 995 	loss=40,414953734725714
179 - 988 	loss=40,25701316073537
180 - 985 	loss=40,101469710469246
181 - 986 	loss=39,948740452528
182 - 981 	loss=39,79504271969199
183 - 976 	loss=39,64480744674802
184 - 977 	loss=39,49431158974767
185 - 977 	loss=39,34621534869075
186 - 972 	loss=39,200383331626654
187 - 971 	loss=39,053893972188234
188 - 967 	loss=38,90844677388668
189 - 963 	loss=38,7639174759388
190 - 956 	loss=38,61993404105306
191 - 946 	loss=38,471522722393274
192 - 941 	loss=38,3305063508451
193 - 940 	loss=38,18214927241206
194 - 935 	loss=38,03604966402054
195 - 931 	loss=37,886500991880894
196 - 926 	loss=37,737106278538704
197 - 921 	loss=37,587036749348044
198 - 918 	loss=37,43746001459658
199 - 914 	loss=37,286135882139206
200 - 909 	loss=37,13750994205475
201 - 910 	loss=36,98898478783667
202 - 903 	loss=36,84309858456254
203 - 899 	loss=36,70230285450816
204 - 897 	loss=36,55854442715645
205 - 891 	loss=36,41828355938196
206 - 891 	loss=36,2797115445137
207 - 887 	loss=36,14197552204132
208 - 882 	loss=36,01027039811015
209 - 884 	loss=35,87423910200596
210 - 881 	loss=35,74449460953474
211 - 876 	loss=35,61323535069823
212 - 879 	loss=35,48439883440733
213 - 874 	loss=35,35769200325012
214 - 875 	loss=35,23466036841273
215 - 876 	loss=35,109851107001305
216 - 874 	loss=34,98477881774306
217 - 873 	loss=34,86390217021108
218 - 868 	loss=34,74214217439294
219 - 863 	loss=34,61830281279981
220 - 861 	loss=34,496273551136255
221 - 856 	loss=34,37254683673382
222 - 854 	loss=34,24903181940317
223 - 847 	loss=34,124925246462226
224 - 847 	loss=34,00039755925536
225 - 842 	loss=33,87586775608361
226 - 840 	loss=33,75190565176308
227 - 839 	loss=33,62744047306478
228 - 837 	loss=33,50021022371948
229 - 833 	loss=33,37667960859835
230 - 832 	loss=33,24865911155939
231 - 830 	loss=33,123215690255165
232 - 829 	loss=32,998762944713235
233 - 826 	loss=32,87599538452923
234 - 821 	loss=32,755201403051615
235 - 819 	loss=32,63635453209281
236 - 816 	loss=32,516525745391846
237 - 816 	loss=32,39962540008128
238 - 812 	loss=32,28259074315429
239 - 815 	loss=32,17060988210142
240 - 815 	loss=32,05388523824513
241 - 811 	loss=31,940202463418245
242 - 806 	loss=31,830160735175014
243 - 802 	loss=31,718347497284412
244 - 801 	loss=31,6073348633945
245 - 793 	loss=31,498696176335216
246 - 787 	loss=31,38759314455092
247 - 786 	loss=31,280606545507908
248 - 785 	loss=31,16863638907671
249 - 777 	loss=31,06095091253519
250 - 774 	loss=30,95410135947168
251 - 773 	loss=30,84634418785572
252 - 771 	loss=30,742200845852494
253 - 767 	loss=30,636975400149822
254 - 763 	loss=30,53282594680786
255 - 762 	loss=30,42912131920457
256 - 756 	loss=30,325051594525576
257 - 753 	loss=30,224055252969265
258 - 749 	loss=30,121727120131254
259 - 746 	loss=30,020231142640114
260 - 743 	loss=29,918209908530116
261 - 739 	loss=29,817760836333036
262 - 735 	loss=29,719906831160188
263 - 734 	loss=29,62009192071855
264 - 733 	loss=29,523300191387534
265 - 728 	loss=29,422372575849295
266 - 724 	loss=29,32561488263309
267 - 719 	loss=29,226646212860942
268 - 716 	loss=29,130430210381746
269 - 718 	loss=29,033720234408975
270 - 711 	loss=28,938455246388912
271 - 708 	loss=28,841164937242866
272 - 707 	loss=28,746352216228843
273 - 706 	loss=28,65304158627987
274 - 700 	loss=28,556557392701507
275 - 696 	loss=28,46270369924605
276 - 695 	loss=28,371516838669777
277 - 690 	loss=28,273273300379515
278 - 689 	loss=28,180701779201627
279 - 690 	loss=28,088552305474877
280 - 682 	loss=27,99834594503045
281 - 676 	loss=27,907844305038452
282 - 676 	loss=27,817838337272406
283 - 676 	loss=27,7285113632679
284 - 675 	loss=27,63907848112285
285 - 673 	loss=27,549522168934345
286 - 669 	loss=27,463121371343732
