0 - 126 	loss=2,015459895133972
1 - 129 	loss=2,0138213485479355
2 - 130 	loss=2,0123517513275146
3 - 128 	loss=2,0110330879688263
4 - 126 	loss=2,00985424220562
5 - 128 	loss=2,0087945461273193
6 - 126 	loss=2,0078505873680115
7 - 126 	loss=2,0070155560970306
8 - 126 	loss=2,0062762796878815
9 - 128 	loss=2,0056227147579193
10 - 127 	loss=2,0050387382507324
11 - 125 	loss=2,0045130997896194
12 - 122 	loss=2,004035696387291
13 - 123 	loss=2,0035993307828903
14 - 123 	loss=2,00319704413414
15 - 123 	loss=2,0028211176395416
16 - 123 	loss=2,0024658292531967
17 - 125 	loss=2,002128556370735
18 - 126 	loss=2,001804158091545
19 - 125 	loss=2,001494988799095
20 - 124 	loss=2,0011971592903137
21 - 123 	loss=2,0009130388498306
22 - 124 	loss=2,0006414651870728
23 - 124 	loss=2,000380292534828
24 - 124 	loss=2,0001260638237
25 - 124 	loss=1,9998788237571716
26 - 123 	loss=1,9996389746665955
27 - 124 	loss=1,9994030594825745
28 - 123 	loss=1,9991698563098907
29 - 122 	loss=1,9989421963691711
30 - 122 	loss=1,9987199902534485
31 - 123 	loss=1,9985047578811646
32 - 123 	loss=1,9982920438051224
33 - 123 	loss=1,9980797320604324
34 - 121 	loss=1,997868299484253
35 - 120 	loss=1,9976576119661331
36 - 119 	loss=1,9974489361047745
37 - 119 	loss=1,997245654463768
38 - 119 	loss=1,9970460683107376
39 - 118 	loss=1,9968452751636505
40 - 118 	loss=1,996643751859665
41 - 119 	loss=1,9964440613985062
42 - 119 	loss=1,996243953704834
43 - 119 	loss=1,9960438311100006
44 - 119 	loss=1,995845451951027
45 - 119 	loss=1,9956486374139786
46 - 119 	loss=1,9954562485218048
47 - 120 	loss=1,995264396071434
48 - 121 	loss=1,9950721859931946
49 - 121 	loss=1,9948804676532745
50 - 121 	loss=1,9946864694356918
51 - 123 	loss=1,9944912046194077
52 - 122 	loss=1,9942944049835205
53 - 122 	loss=1,994099646806717
54 - 122 	loss=1,9939060509204865
55 - 122 	loss=1,993712067604065
56 - 121 	loss=1,9935228824615479
57 - 121 	loss=1,9933312386274338
58 - 121 	loss=1,9931403994560242
59 - 122 	loss=1,992947667837143
60 - 122 	loss=1,9927564859390259
61 - 122 	loss=1,9925644099712372
62 - 122 	loss=1,992372751235962
63 - 121 	loss=1,9921790957450867
64 - 121 	loss=1,9919824600219727
65 - 119 	loss=1,9917845577001572
66 - 119 	loss=1,9915883094072342
67 - 119 	loss=1,9913899451494217
68 - 119 	loss=1,9911922961473465
69 - 119 	loss=1,9909949898719788
70 - 119 	loss=1,990796223282814
71 - 120 	loss=1,9905951172113419
72 - 120 	loss=1,9903938919305801
73 - 119 	loss=1,9901922047138214
74 - 118 	loss=1,9899886101484299
75 - 118 	loss=1,989787071943283
76 - 118 	loss=1,9895823895931244
77 - 118 	loss=1,9893742799758911
78 - 117 	loss=1,989169031381607
79 - 117 	loss=1,9889574646949768
80 - 117 	loss=1,9887484014034271
81 - 115 	loss=1,988536462187767
82 - 115 	loss=1,9883249551057816
83 - 115 	loss=1,9881131798028946
84 - 115 	loss=1,9879016131162643
85 - 116 	loss=1,9876889884471893
86 - 116 	loss=1,9874770045280457
87 - 116 	loss=1,98726125061512
88 - 116 	loss=1,9870463609695435
89 - 116 	loss=1,9868346005678177
90 - 116 	loss=1,9866154491901398
91 - 116 	loss=1,986402615904808
92 - 116 	loss=1,9861841201782227
93 - 116 	loss=1,9859605133533478
94 - 116 	loss=1,9857412278652191
95 - 116 	loss=1,9855224192142487
96 - 116 	loss=1,9853032380342484
97 - 116 	loss=1,985080748796463
98 - 116 	loss=1,9848577678203583
99 - 114 	loss=1,9846273213624954
100 - 114 	loss=1,9843965619802475
101 - 113 	loss=1,9841671884059906
102 - 113 	loss=1,9839350879192352
103 - 112 	loss=1,9837010204792023
