0 - 2048 	loss=32,058434933423996
1 - 2039 	loss=32,03282441198826
2 - 2055 	loss=32,018605053424835
3 - 2023 	loss=32,00829738378525
4 - 2021 	loss=31,999912679195404
5 - 2019 	loss=31,991920337080956
6 - 2016 	loss=31,983747750520706
7 - 2002 	loss=31,974634140729904
8 - 2001 	loss=31,964009523391724
9 - 1994 	loss=31,951941773295403
10 - 1959 	loss=31,93791674077511
11 - 1932 	loss=31,92171822488308
12 - 1889 	loss=31,902583554387093
13 - 1860 	loss=31,880271151661873
14 - 1838 	loss=31,85520625114441
15 - 1828 	loss=31,8281659334898
16 - 1794 	loss=31,798719972372055
17 - 1758 	loss=31,766257539391518
18 - 1736 	loss=31,73280319571495
19 - 1703 	loss=31,69540947675705
20 - 1683 	loss=31,65626110136509
21 - 1643 	loss=31,61518782377243
22 - 1614 	loss=31,571750834584236
23 - 1603 	loss=31,526380762457848
24 - 1587 	loss=31,480503365397453
25 - 1573 	loss=31,434445425868034
26 - 1550 	loss=31,388530790805817
27 - 1528 	loss=31,34253680706024
28 - 1527 	loss=31,297590166330338
29 - 1510 	loss=31,251820847392082
30 - 1498 	loss=31,202450528740883
31 - 1489 	loss=31,154154509305954
32 - 1486 	loss=31,103590220212936
33 - 1476 	loss=31,05112859606743
34 - 1463 	loss=30,995708987116814
35 - 1449 	loss=30,937995746731758
36 - 1430 	loss=30,876569017767906
37 - 1420 	loss=30,814948871731758
38 - 1416 	loss=30,751652866601944
39 - 1399 	loss=30,691367879509926
40 - 1396 	loss=30,628243520855904
41 - 1382 	loss=30,56612077355385
42 - 1377 	loss=30,503066271543503
43 - 1363 	loss=30,436668500304222
44 - 1358 	loss=30,37086810171604
45 - 1343 	loss=30,307305708527565
46 - 1335 	loss=30,244643166661263
47 - 1326 	loss=30,182641342282295
48 - 1310 	loss=30,12028081715107
49 - 1304 	loss=30,05896070599556
50 - 1292 	loss=29,995882108807564
51 - 1290 	loss=29,934773415327072
52 - 1275 	loss=29,87099163234234
53 - 1265 	loss=29,80839842557907
54 - 1257 	loss=29,746839806437492
55 - 1252 	loss=29,68591019511223
56 - 1240 	loss=29,623525351285934
57 - 1232 	loss=29,562619626522064
58 - 1224 	loss=29,49837437272072
59 - 1208 	loss=29,43601968884468
60 - 1202 	loss=29,377736687660217
61 - 1193 	loss=29,31534218788147
62 - 1185 	loss=29,254370599985123
63 - 1180 	loss=29,19317339360714
64 - 1175 	loss=29,134588837623596
65 - 1162 	loss=29,07200327515602
66 - 1159 	loss=29,010536924004555
67 - 1143 	loss=28,947455167770386
68 - 1142 	loss=28,887714862823486
69 - 1144 	loss=28,82535696029663
70 - 1137 	loss=28,764654383063316
71 - 1122 	loss=28,70361825823784
72 - 1120 	loss=28,64237652719021
73 - 1119 	loss=28,583322629332542
74 - 1112 	loss=28,52112290263176
75 - 1110 	loss=28,461077451705933
76 - 1101 	loss=28,399975016713142
77 - 1096 	loss=28,3397855758667
78 - 1087 	loss=28,28067795932293
79 - 1079 	loss=28,218946933746338
80 - 1075 	loss=28,158322393894196
81 - 1073 	loss=28,098815962672234
82 - 1069 	loss=28,0419994443655
83 - 1062 	loss=27,98106089234352
84 - 1055 	loss=27,922843992710114
85 - 1053 	loss=27,86328136920929
86 - 1050 	loss=27,804671064019203
87 - 1043 	loss=27,742619276046753
88 - 1037 	loss=27,68465083837509
89 - 1034 	loss=27,62582652270794
90 - 1031 	loss=27,57028803229332
91 - 1020 	loss=27,51172685623169
92 - 1013 	loss=27,449226796627045
93 - 1006 	loss=27,392610147595406
94 - 1001 	loss=27,337202191352844
95 - 1001 	loss=27,276827484369278
96 - 994 	loss=27,2227191478014
97 - 991 	loss=27,16512942314148
98 - 987 	loss=27,111259505152702
99 - 983 	loss=27,055502131581306
100 - 981 	loss=27,00173871219158
101 - 976 	loss=26,942987859249115
102 - 969 	loss=26,888235092163086
103 - 963 	loss=26,830518499016762
104 - 961 	loss=26,775657281279564
105 - 951 	loss=26,716423079371452
106 - 949 	loss=26,66274729371071
107 - 944 	loss=26,60903336107731
108 - 937 	loss=26,552295997738838
109 - 931 	loss=26,492796421051025
110 - 933 	loss=26,435243636369705
111 - 924 	loss=26,38049452006817
112 - 922 	loss=26,324766099452972
113 - 914 	loss=26,26533041894436
114 - 912 	loss=26,21253801882267
115 - 909 	loss=26,15395052731037
116 - 911 	loss=26,101619869470596
117 - 905 	loss=26,043296232819557
118 - 906 	loss=25,98953841626644
119 - 903 	loss=25,93870571255684
120 - 899 	loss=25,880538925528526
121 - 896 	loss=25,830173403024673
122 - 895 	loss=25,77591636776924
123 - 889 	loss=25,725039705634117
124 - 888 	loss=25,672291219234467
125 - 887 	loss=25,618436843156815
126 - 886 	loss=25,56392003595829
127 - 874 	loss=25,512513399124146
128 - 871 	loss=25,459427252411842
129 - 859 	loss=25,40969368815422
130 - 850 	loss=25,35231837630272
131 - 847 	loss=25,300414323806763
132 - 848 	loss=25,254156544804573
133 - 844 	loss=25,201322630047798
134 - 836 	loss=25,15028239786625
135 - 839 	loss=25,094766929745674
136 - 834 	loss=25,044820949435234
137 - 831 	loss=24,99219100177288
138 - 833 	loss=24,9415430277586
139 - 830 	loss=24,888800218701363
140 - 825 	loss=24,833014369010925
141 - 817 	loss=24,778783068060875
142 - 813 	loss=24,72533868253231
143 - 799 	loss=24,661880880594254
144 - 794 	loss=24,601593047380447
145 - 786 	loss=24,53965626657009
146 - 784 	loss=24,481541603803635
147 - 773 	loss=24,422253236174583
148 - 772 	loss=24,36092659831047
149 - 768 	loss=24,299797505140305
150 - 761 	loss=24,239882811903954
151 - 759 	loss=24,181959077715874
152 - 758 	loss=24,122305184602737
153 - 754 	loss=24,063847944140434
154 - 746 	loss=24,002919405698776
155 - 743 	loss=23,94400879740715
156 - 735 	loss=23,886109218001366
157 - 730 	loss=23,82523639500141
158 - 728 	loss=23,765041917562485
159 - 725 	loss=23,70651939511299
160 - 725 	loss=23,647534772753716
161 - 721 	loss=23,58693140745163
162 - 713 	loss=23,52769286930561
163 - 711 	loss=23,471044540405273
164 - 708 	loss=23,409569054841995
165 - 702 	loss=23,35215038061142
166 - 697 	loss=23,29377283155918
167 - 697 	loss=23,233436420559883
168 - 688 	loss=23,175671264529228
169 - 685 	loss=23,116513773798943
170 - 678 	loss=23,062423437833786
171 - 673 	loss=23,00267118215561
172 - 673 	loss=22,947171792387962
173 - 671 	loss=22,892942130565643
174 - 665 	loss=22,835730612277985
175 - 660 	loss=22,779064774513245
176 - 662 	loss=22,725277349352837
177 - 661 	loss=22,67092788219452
178 - 654 	loss=22,614787235856056
179 - 658 	loss=22,55857741832733
180 - 656 	loss=22,508714616298676
181 - 653 	loss=22,451879367232323
182 - 649 	loss=22,401215717196465
183 - 649 	loss=22,351446479558945
184 - 642 	loss=22,300055161118507
185 - 641 	loss=22,25272662937641
186 - 636 	loss=22,203949004411697
187 - 631 	loss=22,151640623807907
188 - 629 	loss=22,100984677672386
189 - 626 	loss=22,046827346086502
190 - 622 	loss=22,003941133618355
191 - 621 	loss=21,95595771074295
192 - 622 	loss=21,904558569192886
193 - 614 	loss=21,85578541457653
194 - 616 	loss=21,809923112392426
195 - 611 	loss=21,76168116927147
196 - 612 	loss=21,71263314783573
197 - 608 	loss=21,666042312979698
198 - 602 	loss=21,61951008439064
199 - 601 	loss=21,57231217622757
200 - 598 	loss=21,524292320013046
201 - 597 	loss=21,477948307991028
202 - 593 	loss=21,4325939565897
203 - 589 	loss=21,382187992334366
204 - 589 	loss=21,333711370825768
205 - 584 	loss=21,289870604872704
206 - 584 	loss=21,245050877332687
207 - 581 	loss=21,19742138683796
208 - 581 	loss=21,152498841285706
209 - 578 	loss=21,106160283088684
210 - 574 	loss=21,06267938017845
211 - 572 	loss=21,013243585824966
212 - 566 	loss=20,97337718307972
213 - 564 	loss=20,92408177256584
214 - 564 	loss=20,881167486310005
215 - 560 	loss=20,835821196436882
216 - 561 	loss=20,791638240218163
217 - 561 	loss=20,746716752648354
218 - 559 	loss=20,701202556490898
219 - 558 	loss=20,662191674113274
220 - 560 	loss=20,61874857544899
221 - 556 	loss=20,571824431419373
222 - 554 	loss=20,53220796585083
223 - 550 	loss=20,489880830049515
