0 - 308586 	loss=7319,979956805706
1 - 210707 	loss=5921,176561124623
2 - 166078 	loss=4898,004853874445
3 - 125638 	loss=3993,694045174867
4 - 91974 	loss=3227,1403912380338
5 - 61888 	loss=2511,878922196105
6 - 40297 	loss=1901,7485289219767
7 - 27561 	loss=1459,3933259942569
8 - 18376 	loss=1108,5555903215427
9 - 14767 	loss=890,870280704461
10 - 10500 	loss=701,8186492498498
11 - 7671 	loss=563,6413414819981
12 - 5522 	loss=440,56809487211285
13 - 4734 	loss=380,6818676276889
14 - 3584 	loss=311,50308198739367
15 - 3053 	loss=267,4385707440815
16 - 2546 	loss=229,65064928767606
17 - 1936 	loss=189,98546629890916
18 - 1789 	loss=169,00143953378574
19 - 1708 	loss=156,17318380809957
20 - 1436 	loss=135,05109592493318
21 - 1451 	loss=127,15913841692418
22 - 1200 	loss=109,82503444624581
23 - 1070 	loss=98,76268437545423
24 - 905 	loss=87,4259366691831
25 - 790 	loss=78,48124617404756
26 - 683 	loss=71,2792295816912
27 - 590 	loss=64,8353940558818
28 - 538 	loss=58,652527747550835
29 - 423 	loss=51,21622605573714
30 - 398 	loss=47,532862060516095
31 - 374 	loss=44,00335688998132
32 - 340 	loss=40,53179804740813
33 - 306 	loss=37,443178108955806
34 - 289 	loss=35,11266121498187
35 - 262 	loss=32,95599188705873
36 - 243 	loss=30,70927909629515
37 - 222 	loss=28,398245745100127
38 - 211 	loss=26,732629832757695
39 - 185 	loss=24,08282791871528
40 - 175 	loss=22,368705905911284
41 - 160 	loss=21,00922609880446
42 - 153 	loss=19,405679303330437
43 - 145 	loss=18,335765965507626
44 - 132 	loss=17,02775267110878
45 - 120 	loss=15,999400189394699
46 - 110 	loss=14,99060227566974
47 - 92 	loss=14,035092896701139
48 - 84 	loss=13,16706642038524
49 - 72 	loss=12,35371044772267
50 - 63 	loss=11,628396406899137
51 - 60 	loss=11,020578723505684
52 - 57 	loss=10,429682312389572
53 - 53 	loss=9,913267846106399
54 - 49 	loss=9,410040113399601
55 - 48 	loss=8,940225678690702
56 - 43 	loss=8,495751161940195
57 - 39 	loss=8,099963173070968
58 - 33 	loss=7,707158064195048
59 - 32 	loss=7,3505254814377565
60 - 28 	loss=7,026872572343979
61 - 25 	loss=6,700354856691879
62 - 23 	loss=6,42074125232365
63 - 23 	loss=6,158364546684814
64 - 24 	loss=5,89215197015343
65 - 22 	loss=5,660766645953051
66 - 22 	loss=5,411821243609261
67 - 19 	loss=5,1464802198851896
68 - 15 	loss=4,901157602856464
69 - 14 	loss=4,688878321382756
70 - 13 	loss=4,501699482483591
71 - 13 	loss=4,319712818206449
72 - 11 	loss=4,141288242192952
73 - 11 	loss=3,973341180636303
74 - 11 	loss=3,8358133404470416
75 - 11 	loss=3,6839204318206216
76 - 10 	loss=3,544458186077163
77 - 8 	loss=3,406706428610012
78 - 9 	loss=3,260129887073966
79 - 9 	loss=3,155744548468801
80 - 10 	loss=3,0267683415820565
81 - 10 	loss=2,93749344640913
82 - 10 	loss=2,8309433204915395
83 - 10 	loss=2,7201910258062236
84 - 11 	loss=2,614508493288052
85 - 9 	loss=2,543131226987339
86 - 10 	loss=2,4508787728133714
87 - 10 	loss=2,3794861976163517
88 - 7 	loss=2,3052746468350356
89 - 7 	loss=2,2421514379471446
90 - 8 	loss=2,1810087477832187
91 - 8 	loss=2,125765510364827
92 - 5 	loss=2,0418763518544294
93 - 4 	loss=1,9656312384308952
94 - 4 	loss=1,8983526414191823
95 - 8 	loss=1,8775276098616756
96 - 10 	loss=1,8132306746815592
97 - 9 	loss=1,7999372397656217
98 - 6 	loss=1,7368552851516006
99 - 9 	loss=1,694323667888604
100 - 7 	loss=1,6805927161073921
101 - 8 	loss=1,6396355911710248
102 - 6 	loss=1,61513898455935
103 - 6 	loss=1,5884520460051248
104 - 6 	loss=1,5372672106774585
105 - 7 	loss=1,5415469640491892
106 - 6 	loss=1,4531191480332784
107 - 5 	loss=1,495719027133637
108 - 6 	loss=1,4025129797259681
109 - 4 	loss=1,3477683257131334
110 - 4 	loss=1,3909213119427772
111 - 4 	loss=1,2601969549900616
112 - 3 	loss=1,2200926449327127
113 - 5 	loss=1,2615767367782422
114 - 5 	loss=1,2091972164805973
115 - 7 	loss=1,2254152075901088
116 - 4 	loss=1,1035718655754816
117 - 3 	loss=1,1119763243575205
118 - 10 	loss=1,2213290963112076
119 - 3 	loss=1,0350482747667995
120 - 7 	loss=1,140913071625642
121 - 5 	loss=1,051521810192809
122 - 7 	loss=1,0707670163039602
123 - 5 	loss=1,0073963239045067
124 - 7 	loss=1,0032993033261441
125 - 4 	loss=0,9710374749757147
126 - 4 	loss=0,9559073350615275
127 - 9 	loss=1,0150496073355864
128 - 2 	loss=0,8976962475577963
129 - 3 	loss=0,860982998033701
130 - 6 	loss=0,9141146568764449
131 - 3 	loss=0,831979244613801
132 - 3 	loss=0,8502508313630052
133 - 3 	loss=0,8120068886187576
134 - 2 	loss=0,7993221990570224
135 - 2 	loss=0,822651761779178
136 - 2 	loss=0,7745452889017294
137 - 3 	loss=0,7465110596100738
138 - 2 	loss=0,7003406825238683
139 - 1 	loss=0,6616452410523946
140 - 2 	loss=0,6995040078900657
141 - 4 	loss=0,8259296926944812
142 - 3 	loss=0,6679955791941411
143 - 4 	loss=0,6797557062853341
144 - 3 	loss=0,6729474817702775
145 - 6 	loss=0,7601768044749788
146 - 1 	loss=0,572058161833898
147 - 3 	loss=0,6122677213655723
148 - 5 	loss=0,7180851414104674
149 - 0 	loss=0,5643730140906124
	2535181,9955 ms
