173 - 1 	loss=1,6188909162196978
174 - 1 	loss=1,5809089047073144
175 - 1 	loss=1,5446913372007884
176 - 1 	loss=1,50744667551254
177 - 1 	loss=1,472103202546748
178 - 1 	loss=1,438299889436621
179 - 1 	loss=1,4030199238263776
180 - 1 	loss=1,3695948008118535
181 - 1 	loss=1,3375553797160364
182 - 1 	loss=1,306521681718209
183 - 1 	loss=1,2767092186419973
184 - 1 	loss=1,2462766568473285
185 - 0 	loss=1,2180538315756166
	390636,7271 ms
