67. E1/E2 	20455 / 3560	42333 ms 28545/472 1428-5953-1049	E: 4042 / 2450
68. E1/E2 	20401 / 3538	43247 ms 29852/487 1384-6068-615	E: 3497 / 2149
69. E1/E2 	20246 / 3500	41133 ms 28214/463 1436-5893-411	E: 4092 / 2352
70. E1/E2 	20372 / 3489	41134 ms 28192/465 1453-5923-206	E: 3782 / 2559
71. E1/E2 	20341 / 3515	41891 ms 28190/462 1486-6024-960	E: 3833 / 2305
72. E1/E2 	20195 / 3474	41121 ms 28108/461 1459-5867-416	E: 3784 / 2439
73. E1/E2 	20215 / 3539	40936 ms 28114/472 1476-6019-2	E: 3025 / 1988
74. E1/E2 	20155 / 3435	42134 ms 28282/469 1477-5900-1233	E: 3481 / 2242
75. E1/E2 	20053 / 3460	42134 ms 29155/483 1379-5860-205	E: 3914 / 2671
76. E1/E2 	20186 / 3502	41083 ms 27146/449 1563-6148-1101	E: 3366 / 1962
77. E1/E2 	20298 / 3446	40792 ms 27137/447 1590-6073-869	E: 4346 / 2476
78. E1/E2 	20198 / 3464	40272 ms 26966/452 1550-6019-650	E: 3015 / 1831
79. E1/E2 	20027 / 3427	40658 ms 27368/460 1534-5995-636	E: 3010 / 2054
80. E1/E2 	20012 / 3451	40540 ms 27003/447 1536-6026-867	E: 3283 / 2057
81. E1/E2 	20060 / 3369	40700 ms 27372/448 1530-5922-885	E: 3122 / 1964
82. E1/E2 	19962 / 3475	40790 ms 27168/455 1558-6120-876	E: 3575 / 2600
83. E1/E2 	20089 / 3464	42406 ms 28864/476 1437-5992-440	E: 3442 / 2405
84. E1/E2 	19948 / 3377	42081 ms 29385/484 1337-5677-413	E: 4809 / 2753
85. E1/E2 	19823 / 3377	41280 ms 28616/469 1389-5714-208	E: 6027 / 4165
86. E1/E2 	19962 / 3366	41708 ms 28769/469 1337-5583-621	E: 3638 / 2059
87. E1/E2 	19766 / 3494	42700 ms 29370/481 1360-5994-808	E: 3147 / 1996
88. E1/E2 	19902 / 3326	40413 ms 27521/461 1513-5840-432	E: 3208 / 2038
89. E1/E2 	19754 / 3415	39956 ms 27143/450 1512-5955-220	E: 3441 / 2189
90. E1/E2 	19747 / 3488	37375 ms 26071/422 1293-5585-984	E: 3002 / 1890
91. E1/E2 	19724 / 3380	23232 ms 17261/279 241-2505-639	E: 3869 / 2321
92. E1/E2 	19611 / 3277	19250 ms 13898/252 283-2093-209	E: 3155 / 2052
93. E1/E2 	19554 / 3293	19617 ms 13591/252 265-2065-632	E: 3093 / 1847
94. E1/E2 	19607 / 3280	19550 ms 14124/254 272-2105-519	E: 3009 / 1831
95. E1/E2 	19544 / 3358	21331 ms 15589/262 238-2312-313	E: 3062 / 2070
