	0,5968	0,0806	0,5000	0,5333	0,5833	0,6500	0,7167
	0,6483	0,1041	0,5167	0,5667	0,6389	0,7278	0,8000
	0,6583	0,1163	0,5278	0,5722	0,6278	0,7444	0,8500
	0,6588	0,1148	0,5278	0,5722	0,6278	0,7444	0,8444
	0,6544	0,1035	0,5333	0,5778	0,6333	0,7389	0,8056
	0,6593	0,1042	0,5333	0,5833	0,6500	0,7389	0,8056
	0,6520	0,1077	0,5222	0,5611	0,6389	0,7389	0,8111
	0,6596	0,1034	0,5278	0,5833	0,6500	0,7389	0,8167
	0,6515	0,1022	0,5333	0,5722	0,6389	0,7278	0,8111
	0,6519	0,1117	0,5222	0,5722	0,6278	0,7444	0,8278
	0,6536	0,1009	0,5278	0,5778	0,6389	0,7167	0,8111
	0,6615	0,1115	0,5278	0,5722	0,6444	0,7500	0,8278
	0,6606	0,1111	0,5278	0,5722	0,6444	0,7500	0,8278
	0,6554	0,1013	0,5222	0,5778	0,6500	0,7278	0,8056
	0,6633	0,1129	0,5278	0,5667	0,6556	0,7500	0,8278
	0,6629	0,1093	0,5333	0,5722	0,6556	0,7444	0,8222
	0,6612	0,1141	0,5222	0,5722	0,6389	0,7611	0,8333
	0,6692	0,1191	0,5333	0,5833	0,6389	0,7667	0,8556
	0,6657	0,1131	0,5278	0,5833	0,6444	0,7556	0,8278
	0,6535	0,1043	0,5278	0,5722	0,6389	0,7333	0,8111
	0,6624	0,1170	0,5333	0,5722	0,6333	0,7667	0,8444
	0,6559	0,1108	0,5222	0,5722	0,6389	0,7389	0,8111
	0,6648	0,1111	0,5278	0,5833	0,6389	0,7556	0,8333
	0,6558	0,1070	0,5278	0,5722	0,6444	0,7444	0,8056
	0,6664	0,1159	0,5278	0,5667	0,6556	0,7667	0,8333
	0,6653	0,1050	0,5333	0,5833	0,6500	0,7444	0,8111
	0,6661	0,1074	0,5167	0,5833	0,6556	0,7556	0,8167
	0,6624	0,1125	0,5278	0,5778	0,6444	0,7556	0,8333
	0,6589	0,1037	0,5333	0,5833	0,6444	0,7389	0,8111
	0,6551	0,0991	0,5222	0,5722	0,6611	0,7333	0,7833
	0,6601	0,1071	0,5389	0,5778	0,6500	0,7278	0,8278
	0,6620	0,1146	0,5278	0,5778	0,6389	0,7611	0,8333
	0,6640	0,1132	0,5333	0,5722	0,6444	0,7556	0,8389
	0,6620	0,1058	0,5333	0,5778	0,6500	0,7389	0,8222
	0,6503	0,0991	0,5278	0,5722	0,6444	0,7222	0,8056
	0,6615	0,1119	0,5333	0,5722	0,6389	0,7556	0,8333
	0,6570	0,1101	0,5278	0,5722	0,6389	0,7333	0,8333
	0,6579	0,1066	0,5278	0,5667	0,6556	0,7333	0,8167
	0,6552	0,1083	0,5278	0,5667	0,6389	0,7333	0,8222
	0,6592	0,1062	0,5278	0,5667	0,6500	0,7389	0,8167
	0,6645	0,1111	0,5278	0,5778	0,6389	0,7500	0,8389
	0,6656	0,1162	0,5333	0,5778	0,6389	0,7667	0,8333
	0,6518	0,0975	0,5333	0,5722	0,6389	0,7333	0,7944
	0,6572	0,1123	0,5278	0,5778	0,6278	0,7333	0,8389
	0,6507	0,0936	0,5333	0,5889	0,6389	0,7167	0,7944
	0,6640	0,1086	0,5333	0,5778	0,6444	0,7556	0,8278
	0,6635	0,1085	0,5278	0,5778	0,6444	0,7556	0,8278
	0,6615	0,1035	0,5333	0,5778	0,6444	0,7444	0,8111
	0,6533	0,1053	0,5333	0,5722	0,6333	0,7389	0,8056
	0,6638	0,1037	0,5389	0,5778	0,6611	0,7500	0,8056
	0,6650	0,1128	0,5333	0,5778	0,6444	0,7556	0,8389
	0,6532	0,0989	0,5278	0,5833	0,6444	0,7278	0,8000
	0,6510	0,1000	0,5278	0,5778	0,6389	0,7278	0,8000
	0,6617	0,1113	0,5278	0,5722	0,6444	0,7444	0,8333
	0,6673	0,1195	0,5333	0,5722	0,6444	0,7667	0,8500
	0,6634	0,1118	0,5389	0,5778	0,6444	0,7556	0,8389
	0,6642	0,1155	0,5278	0,5722	0,6444	0,7500	0,8333
	0,6648	0,1140	0,5389	0,5722	0,6389	0,7556	0,8444
	0,6572	0,1041	0,5278	0,5778	0,6389	0,7444	0,8111
	0,6619	0,1077	0,5278	0,5778	0,6556	0,7389	0,8111
	0,6583	0,1058	0,5333	0,5722	0,6389	0,7444	0,8111
	0,6607	0,1164	0,5222	0,5778	0,6333	0,7611	0,8333
	0,6618	0,1101	0,5333	0,5778	0,6389	0,7444	0,8333
	0,6570	0,1062	0,5333	0,5722	0,6389	0,7389	0,8222
	0,6582	0,1040	0,5333	0,5722	0,6444	0,7389	0,8167
	0,6632	0,1041	0,5389	0,5833	0,6444	0,7444	0,8111
	0,6586	0,1011	0,5444	0,5778	0,6444	0,7333	0,8111
	0,6460	0,0989	0,5278	0,5722	0,6333	0,7111	0,8000
	0,6683	0,1135	0,5222	0,5722	0,6611	0,7556	0,8333
	0,6642	0,1023	0,5333	0,5833	0,6611	0,7444	0,8000
	0,6516	0,1045	0,5333	0,5722	0,6278	0,7222	0,8167
	0,6565	0,1006	0,5278	0,5722	0,6500	0,7333	0,8000
	0,6591	0,1030	0,5333	0,5778	0,6444	0,7389	0,8056
	0,6613	0,1027	0,5389	0,5833	0,6389	0,7444	0,8167
	0,6568	0,1028	0,5333	0,5833	0,6389	0,7444	0,8000
	0,6579	0,1069	0,5222	0,5778	0,6444	0,7444	0,8167
	0,6642	0,1140	0,5278	0,5833	0,6389	0,7667	0,8333
	0,6574	0,1043	0,5333	0,5778	0,6444	0,7333	0,8167
	0,6598	0,1016	0,5222	0,5778	0,6500	0,7444	0,7944
	0,6596	0,1101	0,5333	0,5833	0,6333	0,7389	0,8333
	0,6602	0,1040	0,5333	0,5833	0,6444	0,7500	0,8167
	0,6610	0,1015	0,5333	0,5889	0,6556	0,7278	0,8111
	0,6571	0,1027	0,5333	0,5833	0,6389	0,7389	0,8056
	0,6692	0,1206	0,5222	0,5722	0,6444	0,7667	0,8444
	0,6536	0,1029	0,5333	0,5833	0,6333	0,7222	0,8167
	0,6552	0,1011	0,5389	0,5778	0,6389	0,7278	0,8167
	0,6600	0,1044	0,5222	0,5778	0,6556	0,7389	0,8056
	0,6601	0,1090	0,5333	0,5778	0,6389	0,7500	0,8167
	0,6613	0,1161	0,5278	0,5667	0,6333	0,7556	0,8444
	0,6559	0,1104	0,5278	0,5778	0,6278	0,7556	0,8278
	0,6512	0,0990	0,5278	0,5667	0,6500	0,7222	0,7944
	0,6754	0,1201	0,5278	0,5833	0,6556	0,7778	0,8444
