3. E1/E2 	12903 / 1047 (1,0000)	502913 ms 343024/4160 3606-13962-137929	E: 0 / 0
4. E1/E2 	12828 / 1082 (1,0000)	501782 ms 337558/4030 3673-14107-142190	E: 0 / 0
5. E1/E2 	12775 / 1035 (1,0000)	496326 ms 338179/4049 3722-13510-136639	E: 0 / 0
6. E1/E2 	12490 / 978 (1,0000)	486290 ms 337251/4025 3656-12714-128421	E: 0 / 0
7. E1/E2 	12537 / 1059 (1,0000)	497012 ms 336200/3981 3695-13751-139169	E: 0 / 0
8. E1/E2 	12396 / 1045 (1,0000)	496724 ms 337950/4017 3633-13592-137307	E: 0 / 0
9. E1/E2 	12534 / 1057 (1,0000)	499052 ms 337797/4007 3696-13790-139537	E: 0 / 0
10. E1/E2 	12243 / 1022 (1,0000)	491858 ms 337043/3987 3486-13342-133784	E: 0 / 0
11. E1/E2 	12173 / 1042 (1,0000)	496785 ms 337908/3999 3575-13592-137486	E: 0 / 0
12. E1/E2 	12134 / 998 (1,0000)	505056 ms 351803/4302 3054-13640-132024	E: 0 / 0
13. E1/E2 	12169 / 1046 (1,0000)	510767 ms 350783/4264 3079-14261-138145	E: 0 / 0
14. E1/E2 	12190 / 970 (1,0000)	574459 ms 423027/5160 1807-15200-129010	E: 0 / 0
15. E1/E2 	12130 / 981 (1,0000)	493365 ms 343240/4105 3238-13018-129542	E: 0 / 0
16. E1/E2 	11972 / 939 (1,0000)	487609 ms 344004/4110 3197-12437-123639	E: 0 / 0
17. E1/E2 	11887 / 996 (1,0000)	496716 ms 344642/4119 3121-13268-131342	E: 0 / 0
18. E1/E2 	11802 / 963 (1,0000)	487048 ms 340306/4025 3227-12729-126530	E: 0 / 0
19. E1/E2 	11789 / 955 (1,0000)	490388 ms 344523/4121 3095-12776-125637	E: 0 / 0
20. E1/E2 	11768 / 895 (1,0000)	481238 ms 344199/4095 3095-12073-117539	E: 0 / 0
21. E1/E2 	11682 / 917 (1,0000)	486442 ms 345689/4139 3044-12308-121021	E: 0 / 0
22. E1/E2 	11585 / 906 (1,0000)	485312 ms 346474/4158 3001-12173-119270	E: 0 / 0
23. E1/E2 	11608 / 841 (1,0000)	475984 ms 346908/4167 3002-11316-110351	E: 0 / 0
24. E1/E2 	11460 / 905 (1,0000)	480729 ms 342403/4068 3078-11998-118951	E: 0 / 0
25. E1/E2 	11598 / 889 (1,0000)	494361 ms 356797/4367 2844-12396-117708	E: 0 / 0
26. E1/E2 	11360 / 807 (1,0000)	473391 ms 348427/4203 2884-10994-106644	E: 0 / 0
27. E1/E2 	11401 / 886 (1,0000)	479437 ms 343302/4094 3036-11775-116995	E: 0 / 0
28. E1/E2 	11405 / 855 (1,0000)	475615 ms 343796/4119 2998-11435-113032	E: 0 / 0
29. E1/E2 	11325 / 838 (1,0000)	468748 ms 340225/4023 3081-11043-110151	E: 0 / 0
30. E1/E2 	11259 / 838 (1,0000)	472297 ms 343135/4086 2995-11135-110710	E: 0 / 0
31. E1/E2 	11305 / 839 (1,0000)	471194 ms 342367/4068 3040-11158-110327	E: 0 / 0
32. E1/E2 	11114 / 851 (1,0000)	478293 ms 347120/4158 2965-11480-112316	E: 0 / 0
33. E1/E2 	11100 / 829 (1,0000)	472130 ms 344097/4132 3044-11021-109587	E: 0 / 0
34. E1/E2 	11204 / 843 (1,0000)	477118 ms 346331/4171 3032-11266-112063	E: 0 / 0
35. E1/E2 	11115 / 834 (1,0000)	468199 ms 340421/4022 3043-10996-109479	E: 0 / 0
36. E1/E2 	11055 / 824 (1,0000)	463141 ms 337705/3981 3124-10752-107340	E: 0 / 0
37. E1/E2 	11178 / 805 (1,0000)	462398 ms 337973/3988 3258-10532-106406	E: 0 / 0
38. E1/E2 	10961 / 865 (1,0000)	470605 ms 337971/3978 3202-11323-113892	E: 0 / 0
39. E1/E2 	10992 / 823 (1,0000)	461041 ms 335332/3917 3190-10710-107662	E: 0 / 0
40. E1/E2 	10934 / 799 (1,0000)	455282 ms 333961/3893 3138-10363-103701	E: 0 / 0
41. E1/E2 	10897 / 774 (1,0000)	450480 ms 332931/3878 3128-10031-100284	E: 0 / 0
42. E1/E2 	10857 / 766 (1,0000)	450705 ms 333754/3878 3116-9940-99792	E: 0 / 0
43. E1/E2 	10800 / 800 (1,0000)	461131 ms 337725/3971 3181-10445-105566	E: 0 / 0
44. E1/E2 	10918 / 822 (1,0000)	460859 ms 335337/3917 3163-10679-107533	E: 0 / 0
45. E1/E2 	10998 / 786 (1,0000)	457345 ms 336382/3945 3187-10242-103355	E: 0 / 0
46. E1/E2 	10841 / 806 (1,0000)	460993 ms 337033/3954 3176-10509-106082	E: 0 / 0
47. E1/E2 	10689 / 754 (1,0000)	453114 ms 336999/3948 3110-9840-98980	E: 0 / 0
48. E1/E2 	10749 / 775 (1,0000)	456081 ms 336961/3951 3108-10095-101726	E: 0 / 0
49. E1/E2 	10738 / 780 (1,0000)	456637 ms 336582/3943 3138-10161-102578	E: 0 / 0
50. E1/E2 	10579 / 761 (1,0000)	451581 ms 335077/3890 3036-9908-99430	E: 0 / 0
51. E1/E2 	10697 / 791 (1,0000)	458960 ms 337247/3954 3119-10314-104088	E: 0 / 0
52. E1/E2 	10659 / 787 (1,0000)	456179 ms 335549/3895 3088-10239-103181	E: 0 / 0
53. E1/E2 	10593 / 759 (1,0000)	456453 ms 339163/3953 3092-9914-100092	E: 0 / 0
54. E1/E2 	10418 / 723 (1,0000)	446885 ms 336095/3912 2989-9427-94232	E: 0 / 0
55. E1/E2 	10601 / 767 (1,0000)	455330 ms 337428/3974 2988-10029-100678	E: 0 / 0
56. E1/E2 	10512 / 767 (1,0000)	453893 ms 336075/3919 3044-9979-100640	E: 0 / 0
57. E1/E2 	10463 / 695 (1,0000)	441154 ms 334394/3874 3013-9015-90632	E: 0 / 0
58. E1/E2 	10366 / 737 (1,0000)	448578 ms 335319/3895 3003-9595-96539	E: 0 / 0
59. E1/E2 	10357 / 718 (1,0000)	448898 ms 337500/3951 3031-9372-94804	E: 0 / 0
60. E1/E2 	10473 / 739 (1,0000)	447830 ms 334801/3880 3027-9593-96303	E: 0 / 0
61. E1/E2 	10300 / 741 (1,0000)	451653 ms 337406/3936 2996-9665-97403	E: 0 / 0
62. E1/E2 	10488 / 727 (1,0000)	450389 ms 337801/3960 3051-9487-95853	E: 0 / 0
63. E1/E2 	10304 / 655 (1,0000)	438874 ms 337136/3967 2832-8580-86137	E: 0 / 0
64. E1/E2 	10189 / 675 (1,0000)	442143 ms 337671/3952 2889-8813-88595	E: 0 / 0
65. E1/E2 	10416 / 704 (1,0000)	446560 ms 337606/3954 2969-9194-92606	E: 0 / 0
66. E1/E2 	10328 / 702 (1,0000)	445571 ms 336698/3935 3008-9135-92559	E: 0 / 0
67. E1/E2 	10336 / 672 (1,0000)	442277 ms 337577/3957 3020-8771-88711	E: 0 / 0
68. E1/E2 	10332 / 724 (1,0000)	449643 ms 337527/3964 2978-9463-95473	E: 0 / 0
69. E1/E2 	10432 / 699 (1,0000)	445226 ms 336993/3942 3035-9101-91915	E: 0 / 0
70. E1/E2 	10178 / 650 (1,0000)	438253 ms 337186/3949 2950-8464-85465	E: 0 / 0
71. E1/E2 	10384 / 658 (1,0000)	439786 ms 337227/3954 3022-8560-86776	E: 0 / 0
72. E1/E2 	10385 / 669 (1,0000)	438444 ms 335190/3902 2998-8675-87450	E: 0 / 0
73. E1/E2 	10434 / 676 (1,0000)	439142 ms 335132/3896 3031-8749-88103	E: 0 / 0
74. E1/E2 	10254 / 634 (1,0000)	435954 ms 337084/3948 2977-8243-83463	E: 0 / 0
