	0,5761	0,0856	0,4778	0,5111	0,5611	0,6278	0,7056
	0,6087	0,0966	0,4722	0,5389	0,6111	0,6611	0,7444
	0,6043	0,1040	0,4667	0,5278	0,5944	0,6556	0,7611
	0,6124	0,1054	0,4722	0,5333	0,6000	0,6833	0,7611
	0,6215	0,1058	0,4889	0,5444	0,6111	0,6833	0,7833
	0,6100	0,1001	0,4778	0,5333	0,6056	0,6667	0,7278
	0,6157	0,1052	0,4722	0,5389	0,6111	0,6722	0,7667
	0,6116	0,1078	0,4722	0,5333	0,6000	0,6722	0,7556
	0,6234	0,1116	0,4778	0,5500	0,6111	0,6778	0,7889
	0,6208	0,1043	0,4722	0,5444	0,6167	0,6944	0,7667
	0,6179	0,1141	0,4722	0,5333	0,6056	0,6778	0,7889
	0,6114	0,1030	0,4722	0,5333	0,6056	0,6722	0,7667
	0,6284	0,1190	0,4778	0,5389	0,6167	0,7000	0,8056
	0,6176	0,1040	0,4722	0,5389	0,6167	0,6889	0,7611
	0,6243	0,1024	0,4778	0,5500	0,6222	0,6944	0,7667
	0,6278	0,1082	0,4833	0,5444	0,6222	0,6889	0,7889
	0,6027	0,0934	0,4722	0,5278	0,6000	0,6611	0,7278
	0,6269	0,1066	0,4778	0,5444	0,6222	0,7000	0,7667
	0,6091	0,1007	0,4722	0,5333	0,6056	0,6722	0,7444
	0,6052	0,0948	0,4722	0,5389	0,6000	0,6667	0,7278
	0,6160	0,1071	0,4722	0,5333	0,6111	0,6778	0,7611
	0,6167	0,1063	0,4722	0,5333	0,6167	0,6833	0,7667
	0,6131	0,1112	0,4722	0,5278	0,6000	0,6722	0,7556
