	0,5151	0,0359	0,4778	0,4944	0,5056	0,5278	0,5611
	0,5238	0,0545	0,4722	0,4944	0,5111	0,5333	0,5722
	0,5271	0,0555	0,4778	0,4944	0,5111	0,5389	0,6167
	0,5643	0,0761	0,4833	0,5111	0,5500	0,6056	0,6667
	0,5966	0,1055	0,4722	0,5167	0,5833	0,6500	0,7444
	0,6029	0,1089	0,4778	0,5222	0,5889	0,6500	0,7500
	0,6043	0,1057	0,4778	0,5278	0,5889	0,6500	0,7444
	0,5925	0,0920	0,4778	0,5278	0,5833	0,6444	0,7056
	0,5928	0,0981	0,4778	0,5222	0,5778	0,6389	0,7167
	0,5854	0,0836	0,4778	0,5222	0,5778	0,6333	0,7056
	0,5946	0,0920	0,4778	0,5278	0,5889	0,6444	0,7111
	0,5911	0,0872	0,4778	0,5278	0,5833	0,6389	0,7056
	0,6002	0,0954	0,4778	0,5278	0,5889	0,6556	0,7333
	0,5903	0,0882	0,4778	0,5278	0,5833	0,6389	0,6944
	0,5907	0,0916	0,4778	0,5222	0,5833	0,6333	0,7222
	0,6060	0,1070	0,4778	0,5278	0,5889	0,6611	0,7556
	0,5955	0,0980	0,4778	0,5278	0,5778	0,6444	0,7167
	0,5873	0,0923	0,4833	0,5222	0,5722	0,6333	0,6944
	0,5885	0,0909	0,4778	0,5278	0,5778	0,6333	0,7111
	0,5930	0,0911	0,4778	0,5222	0,5833	0,6444	0,7111
	0,5931	0,0934	0,4778	0,5278	0,5833	0,6444	0,7167
	0,5972	0,1022	0,4722	0,5167	0,5833	0,6500	0,7278
	0,5853	0,0863	0,4778	0,5167	0,5778	0,6389	0,6778
	0,5938	0,1023	0,4722	0,5111	0,5778	0,6444	0,7333
	0,5874	0,0879	0,4778	0,5222	0,5833	0,6333	0,6944
	0,5970	0,0987	0,4778	0,5278	0,5889	0,6389	0,7111
	0,5889	0,0881	0,4778	0,5278	0,5833	0,6333	0,6944
