	288	238,56	 0,4507	0,5026	0,5615	0,5151
	268	270,45	 0,3618	0,4781	0,6328	0,5454
	264	270,59	 0,3555	0,4708	0,6050	0,5584
	266	271,04	 0,3291	0,4626	0,5371	0,5669
	267	270,58	 0,2896	0,4484	0,5337	0,5725
	269	271,13	 0,2744	0,4369	0,5283	0,5718
	272	274,92	 0,2979	0,4609	0,5952	0,5602
	277	278,17	 0,2485	0,6423	0,7969	0,5744
	273	275,92	 0,4634	0,7085	0,8433	0,5895
	273	275,56	 0,4746	0,7130	0,8501	0,5948
	273	275,27	 0,4614	0,6936	0,8398	0,5978
	273	275,63	 0,4829	0,7130	0,8599	0,5964
	273	275,38	 0,4966	0,7188	0,8555	0,5978
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
	273	275,41	 0,4976	0,7201	0,8564	0,5980
