0. E1/E2 	6897 / 915	178,318 ms 
	AN: 209	R: 16192/175	P: 0,4945-0,5004-0,5089
1. E1/E2 	4523 / 481	150,2742 ms 
	AN: 164	R: 16384/233	P: 0,4833-0,4996-0,5145
2. E1/E2 	3729 / 525	250,5009 ms 
	AN: 186	R: 16384/241	P: 0,4852-0,5240-0,5653
3. E1/E2 	1631 / 86	97,9285 ms 
	AN: 179	R: 16384/241	P: 0,4902-0,5352-0,5863
4. E1/E2 	1057 / 40	93,7145 ms 
	AN: 182	R: 16384/242	P: 0,4659-0,5424-0,6062
5. E1/E2 	870 / 29	88,9747 ms 
	AN: 182	R: 16384/242	P: 0,4760-0,5395-0,6046
6. E1/E2 	575 / 18	94,2829 ms 
	AN: 182	R: 16384/242	P: 0,4456-0,5711-0,6219
7. E1/E2 	371 / 8	86,6455 ms 
	AN: 186	R: 16384/240	P: 0,4880-0,5784-0,6343
8. E1/E2 	323 / 6	168,5206 ms 
	AN: 186	R: 16384/239	P: 0,4584-0,5851-0,6343
9. E1/E2 	270 / 10	173,8357 ms 
	AN: 186	R: 16384/239	P: 0,4495-0,5909-0,6664
10. E1/E2 	358 / 10	170,1002 ms 
	AN: 187	R: 16384/240	P: 0,4697-0,5768-0,6322
11. E1/E2 	307 / 9	170,1804 ms 
	AN: 187	R: 16384/240	P: 0,4788-0,5837-0,6394
12. E1/E2 	339 / 11	82,4924 ms 
	AN: 187	R: 16384/238	P: 0,4823-0,5876-0,6392
13. E1/E2 	2931 / 907	149,8599 ms 
	AN: 217	R: 16384/245	P: 0,4723-0,5001-0,5219
14. E1/E2 	1430 / 138	172,2679 ms 
	AN: 210	R: 16384/246	P: 0,4874-0,5236-0,5648
15. E1/E2 	439 / 20	87,815 ms 
	AN: 210	R: 16384/244	P: 0,4724-0,5595-0,6133
16. E1/E2 	263 / 11	163,6412 ms 
	AN: 211	R: 16384/242	P: 0,4861-0,5794-0,6383
17. E1/E2 	194 / 4	158,8974 ms 
	AN: 211	R: 16384/240	P: 0,4862-0,5893-0,6370
18. E1/E2 	214 / 5	157,9062 ms 
	AN: 210	R: 16384/239	P: 0,4930-0,5912-0,6362
19. E1/E2 	187 / 4	169,8174 ms 
	AN: 210	R: 16384/238	P: 0,4775-0,5916-0,6362
20. E1/E2 	118 / 4	161,7624 ms 
	AN: 209	R: 16384/236	P: 0,4962-0,5906-0,6362
21. E1/E2 	128 / 1	165,7352 ms 
	AN: 209	R: 16384/232	P: 0,4982-0,5916-0,6362
22. E1/E2 	130 / 3	170,4964 ms 
	AN: 209	R: 16384/238	P: 0,4694-0,5944-0,6715
23. E1/E2 	81 / 1	160,3807 ms 
	AN: 209	R: 16384/234	P: 0,4507-0,5878-0,6362
24. E1/E2 	84 / 1	157,2391 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
25. E1/E2 	56 / 0	161,8252 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
26. E1/E2 	79 / 1	158,0103 ms 
	AN: 208	R: 16384/231	P: 0,4999-0,5916-0,6362
27. E1/E2 	72 / 1	173,4005 ms 
	AN: 208	R: 16384/234	P: 0,4999-0,5916-0,6362
28. E1/E2 	86 / 3	165,4148 ms 
	AN: 208	R: 16384/232	P: 0,5001-0,5918-0,6362
29. E1/E2 	87 / 1	166,1333 ms 
	AN: 208	R: 16384/231	P: 0,5007-0,5923-0,6362
30. E1/E2 	58 / 0	175,6431 ms 
	AN: 208	R: 16384/231	P: 0,5007-0,5923-0,6362
31. E1/E2 	75 / 1	164,8617 ms 
	AN: 209	R: 16384/233	P: 0,5000-0,5919-0,6362
32. E1/E2 	62 / 1	149,1818 ms 
	AN: 209	R: 16384/235	P: 0,5000-0,5916-0,6362
33. E1/E2 	50 / 2	166,0641 ms 
	AN: 209	R: 16384/234	P: 0,4999-0,5916-0,6362
34. E1/E2 	48 / 0	167,8443 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
35. E1/E2 	42 / 1	169,033 ms 
	AN: 209	R: 16384/232	P: 0,4999-0,5916-0,6362
36. E1/E2 	40 / 2	161,1271 ms 
	AN: 209	R: 16384/233	P: 0,4994-0,5918-0,6481
37. E1/E2 	26 / 0	145,7808 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
38. E1/E2 	28 / 1	165,1563 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
39. E1/E2 	36 / 1	162,9038 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
40. E1/E2 	46 / 2	153,5284 ms 
	AN: 209	R: 16384/236	P: 0,4901-0,5923-0,6399
41. E1/E2 	29 / 0	170,4036 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
42. E1/E2 	25 / 0	166,441 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
43. E1/E2 	24 / 1	159,2753 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
44. E1/E2 	28 / 0	155,8485 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
45. E1/E2 	18 / 0	160,9981 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
46. E1/E2 	29 / 0	158,3163 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
47. E1/E2 	28 / 1	157,4574 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
48. E1/E2 	30 / 1	146,2265 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
49. E1/E2 	22 / 1	154,0835 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
50. E1/E2 	2 / 1	156,7973 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
51. E1/E2 	11 / 0	163,425 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
52. E1/E2 	16 / 0	171,7114 ms 
	AN: 209	R: 16384/231	P: 0,4999-0,5916-0,6362
53. E1/E2 	13 / 0	176,0464 ms 
