56. E1/E2 	203 / 18	19,8783 ms 
	AN: 150	R: 4096/221	P: 0,4819-0,5380-0,6309
57. E1/E2 	172 / 8	17,1275 ms 
	AN: 149	R: 4096/219	P: 0,4692-0,5699-0,6675
58. E1/E2 	184 / 7	18,4931 ms 
	AN: 149	R: 4096/216	P: 0,4370-0,5997-0,6670
59. E1/E2 	254 / 13	17,8946 ms 
	AN: 149	R: 4096/220	P: 0,4839-0,5742-0,6475
60. E1/E2 	371 / 45	21,5056 ms 
	AN: 149	R: 4096/223	P: 0,4927-0,5306-0,5928
61. E1/E2 	329 / 27	28,913 ms 
	AN: 152	R: 4096/223	P: 0,4961-0,5669-0,6289
62. E1/E2 	257 / 23	19,8702 ms 
	AN: 152	R: 4096/222	P: 0,4902-0,5683-0,6260
63. E1/E2 	227 / 13	18,2637 ms 
	AN: 152	R: 4096/218	P: 0,4995-0,6021-0,6772
64. E1/E2 	182 / 11	19,6474 ms 
	AN: 152	R: 4096/219	P: 0,4922-0,5982-0,6680
65. E1/E2 	153 / 6	17,8375 ms 
	AN: 152	R: 4096/218	P: 0,4961-0,5951-0,6709
66. E1/E2 	131 / 6	18,7237 ms 
	AN: 151	R: 4096/218	P: 0,4746-0,5903-0,6519
67. E1/E2 	149 / 8	19,0998 ms 
	AN: 151	R: 4096/220	P: 0,4937-0,5805-0,6680
68. E1/E2 	144 / 8	38,0651 ms 
	AN: 151	R: 4096/220	P: 0,4888-0,5881-0,6538
69. E1/E2 	151 / 8	34,3311 ms 
	AN: 152	R: 4096/220	P: 0,4863-0,5599-0,6685
70. E1/E2 	128 / 4	36,1652 ms 
	AN: 152	R: 4096/214	P: 0,4609-0,5103-0,5693
71. E1/E2 	116 / 6	40,3278 ms 
	AN: 152	R: 4096/217	P: 0,4546-0,5505-0,6377
72. E1/E2 	144 / 7	35,6907 ms 
	AN: 152	R: 4096/218	P: 0,4722-0,5415-0,6543
73. E1/E2 	131 / 6	34,2199 ms 
	AN: 152	R: 4096/218	P: 0,4517-0,6025-0,6821
74. E1/E2 	168 / 11	40,9064 ms 
	AN: 152	R: 4096/220	P: 0,4624-0,5951-0,6631
75. E1/E2 	197 / 6	35,5947 ms 
	AN: 152	R: 4096/215	P: 0,4927-0,6003-0,6670
76. E1/E2 	226 / 7	36,1449 ms 
	AN: 153	R: 4096/219	P: 0,4951-0,5997-0,6538
77. E1/E2 	182 / 7	33,9889 ms 
	AN: 153	R: 4096/218	P: 0,4980-0,5994-0,6519
78. E1/E2 	170 / 7	37,0972 ms 
	AN: 153	R: 4096/217	P: 0,4995-0,5961-0,6538
79. E1/E2 	224 / 16	35,432 ms 
	AN: 153	R: 4096/222	P: 0,4819-0,5385-0,6191
80. E1/E2 	313 / 29	37,8799 ms 
	AN: 153	R: 4096/224	P: 0,4868-0,5452-0,6045
81. E1/E2 	407 / 50	38,7788 ms 
