71. E1/E2 	34 / 1	23,5815 ms 12/10	P: 0,5000-0,6348-1,0000
72. E1/E2 	49 / 1	23,733 ms 12/10	P: 0,5000-0,6348-1,0000
73. E1/E2 	39 / 1	24,5118 ms 13/10	P: 0,5000-0,6348-1,0000
74. E1/E2 	31 / 0	22,8229 ms 12/10	P: 0,5000-0,6348-1,0000
75. E1/E2 	39 / 1	25,5904 ms 14/10	P: 0,5000-0,6348-1,0000
76. E1/E2 	35 / 2	23,9158 ms 13/10	P: 0,5000-0,6348-1,0000
77. E1/E2 	39 / 1	24,5422 ms 13/11	P: 0,5000-0,6348-1,0000
78. E1/E2 	42 / 0	24,1841 ms 13/10	P: 0,5000-0,6348-1,0000
79. E1/E2 	29 / 1	22,4526 ms 11/10	P: 0,5000-0,6348-1,0000
80. E1/E2 	26 / 0	23,8073 ms 13/10	P: 0,5000-0,6348-1,0000
81. E1/E2 	41 / 2	22,8338 ms 12/10	P: 0,5000-0,6348-1,0000
82. E1/E2 	33 / 0	23,3203 ms 12/10	P: 0,5000-0,6348-1,0000
83. E1/E2 	29 / 1	23,9201 ms 13/10	P: 0,5000-0,6348-1,0000
84. E1/E2 	31 / 1	23,5541 ms 12/11	P: 0,5000-0,6348-1,0000
85. E1/E2 	36 / 0	24,1573 ms 13/11	P: 0,5000-0,6348-1,0000
86. E1/E2 	39 / 1	22,6989 ms 12/10	P: 0,5000-0,6348-1,0000
87. E1/E2 	33 / 1	24,631 ms 13/11	P: 0,5000-0,6348-1,0000
88. E1/E2 	36 / 1	25,5282 ms 14/10	P: 0,5000-0,6348-1,0000
89. E1/E2 	35 / 1	23,3604 ms 12/10	P: 0,5000-0,6348-1,0000
90. E1/E2 	37 / 1	24,4376 ms 13/10	P: 0,5000-0,6348-1,0000
91. E1/E2 	30 / 1	23,4074 ms 12/10	P: 0,5000-0,6348-1,0000
92. E1/E2 	33 / 1	23,2961 ms 12/10	P: 0,5000-0,6348-1,0000
93. E1/E2 	28 / 0	24,121 ms 13/10	P: 0,5000-0,6348-1,0000
94. E1/E2 	40 / 1	23,8906 ms 12/11	P: 0,5000-0,6348-1,0000
95. E1/E2 	29 / 1	25,0745 ms 14/10	P: 0,5000-0,6348-1,0000
96. E1/E2 	40 / 2	23,5327 ms 12/10	P: 0,5000-0,6348-1,0000
97. E1/E2 	43 / 1	23,918 ms 13/10	P: 0,5000-0,6348-1,0000
