0. E1/E2 	17994 / 606	96319,1503 ms 14675/412	E: 2597 / 996
1. E1/E2 	10326 / 279	65736,7308 ms 23001/655	E: 1870 / 745
2. E1/E2 	8045 / 181	50762,6608 ms 22929/654	E: 1161 / 595
3. E1/E2 	6812 / 144	46000,755 ms 23304/665	E: 2176 / 674
4. E1/E2 	5880 / 104	41105,9778 ms 22947/665	E: 1268 / 552
5. E1/E2 	5392 / 82	38314,2623 ms 22970/659	E: 1130 / 367
6. E1/E2 	4884 / 62	35405,5452 ms 22819/651	E: 1182 / 555
7. E1/E2 	4424 / 41	19771,8033 ms 13990/443	E: 1619 / 480
8. E1/E2 	4023 / 34	17480,6696 ms 12603/411	E: 947 / 454
9. E1/E2 	3815 / 29	17315,0468 ms 12821/406	E: 1111 / 297
10. E1/E2 	3464 / 21	16766,7087 ms 12802/413	E: 634 / 296
11. E1/E2 	3317 / 16	16487,923 ms 12843/414	E: 573 / 269
12. E1/E2 	2932 / 12	16322,3304 ms 12833/411	E: 518 / 242
13. E1/E2 	2656 / 14	16314,1124 ms 12699/411	E: 515 / 236
14. E1/E2 	2691 / 5	15717,2335 ms 12661/417	E: 621 / 276
15. E1/E2 	2422 / 4	15765,8847 ms 12845/419	E: 536 / 260
16. E1/E2 	2168 / 2	15740,826 ms 12884/423	E: 742 / 263
17. E1/E2 	2171 / 1	15706,5946 ms 12783/419	E: 598 / 254
18. E1/E2 	1858 / 3	26567,1968 ms 21643/621	E: 860 / 330
19. E1/E2 	1742 / 2	27646,206 ms 22583/637	E: 759 / 357
20. E1/E2 	1783 / 5	28777,8633 ms 23259/660	E: 598 / 260
21. E1/E2 	1574 / 1	28360,6216 ms 23261/662	E: 567 / 261
22. E1/E2 	1471 / 0	27855,627 ms 22967/655	E: 630 / 280
23. E1/E2 	1303 / 0	28008,9337 ms 23004/656	E: 542 / 255
24. E1/E2 	1271 / 0	27892,0145 ms 23121/662	E: 758 / 300
25. E1/E2 	991 / 1	27785,4579 ms 22929/653	E: 493 / 237
26. E1/E2 	1117 / 0	27578,1671 ms 22847/645	E: 458 / 215
27. E1/E2 	976 / 0	27766,1205 ms 22985/653	E: 478 / 237
28. E1/E2 	890 / 1	28224,7946 ms 23240/672	E: 522 / 243
29. E1/E2 	727 / 0	28719,1866 ms 23748/671	E: 690 / 271
30. E1/E2 	764 / 0	28871,9971 ms 23939/678	E: 478 / 213
31. E1/E2 	669 / 0	27597,9931 ms 22849/653	E: 455 / 209
32. E1/E2 	584 / 0	27801,983 ms 22939/651	E: 448 / 218
33. E1/E2 	584 / 0	27891,4597 ms 22978/653	E: 544 / 232
34. E1/E2 	569 / 0	27733,7956 ms 22988/657	E: 452 / 218
35. E1/E2 	523 / 0	28863,4735 ms 23832/673	E: 823 / 335
36. E1/E2 	344 / 0	28405,5475 ms 23661/674	E: 460 / 220
37. E1/E2 	414 / 0	27970,7013 ms 23130/661	E: 476 / 217
38. E1/E2 	338 / 0	27371,8727 ms 22706/649	E: 446 / 214
39. E1/E2 	313 / 0	27542,5635 ms 22852/651	E: 523 / 239
40. E1/E2 	410 / 0	27617,3904 ms 22946/649	E: 435 / 208
41. E1/E2 	200 / 0	18916,3989 ms 16208/496	E: 466 / 213
42. E1/E2 	305 / 0	14900,4623 ms 12337/419	E: 434 / 207
43. E1/E2 	174 / 0	15144,5197 ms 12558/417	E: 454 / 209
44. E1/E2 	221 / 0	14861,0419 ms 12280/416	E: 440 / 209
45. E1/E2 	98 / 0	14898,8427 ms 12321/416	E: 430 / 206
46. E1/E2 	94 / 0	14766,7463 ms 12219/416	E: 438 / 207
47. E1/E2 	203 / 0	15146,1543 ms 12545/422	E: 432 / 205
48. E1/E2 	210 / 0	14989,3566 ms 12380/419	E: 452 / 213
49. E1/E2 	79 / 0	15190,1176 ms 12510/420	E: 434 / 208
50. E1/E2 	43 / 0	14756,7729 ms 12208/418	E: 469 / 225
51. E1/E2 	131 / 0	15026,2895 ms 12354/416	E: 435 / 208
52. E1/E2 	56 / 0	15056,3171 ms 12433/415	E: 469 / 221
53. E1/E2 	107 / 0	15043,8025 ms 12432/413	E: 435 / 205
54. E1/E2 	42 / 0	14922,9825 ms 12295/416	E: 435 / 205
55. E1/E2 	22 / 0	15127,8006 ms 12546/422	E: 436 / 203
56. E1/E2 	4 / 0	15146,0983 ms 12590/417	E: 434 / 204
57. E1/E2 	0 / 0	16269,4006 ms 13418/425	E: 434 / 204
	FullTime = 1489079,9576 ms 
