0. E1/E2 	17920 / 612	1046126,7958 ms 271304/6054	E: 1544 / 673
1. E1/E2 	10161 / 254	394552,8953 ms 239913/3987	E: 1574 / 793
2. E1/E2 	7747 / 154	334720,8491 ms 227944/3821	E: 3031 / 944
3. E1/E2 	6525 / 112	317954,1279 ms 228481/3855	E: 1643 / 475
4. E1/E2 	5388 / 61	294682,5085 ms 226406/3860	E: 1108 / 421
5. E1/E2 	4807 / 58	294060,8806 ms 226564/3873	E: 1020 / 381
6. E1/E2 	4406 / 33	281655,1467 ms 225989/3892	E: 690 / 293
7. E1/E2 	3805 / 16	274902,5775 ms 225418/3902	E: 574 / 256
8. E1/E2 	3503 / 19	277046,9494 ms 225905/3919	E: 495 / 245
9. E1/E2 	3214 / 13	275471,2714 ms 225850/3910	E: 882 / 434
10. E1/E2 	2970 / 5	271716,0863 ms 226516/3944	E: 628 / 306
11. E1/E2 	2767 / 6	271408,3534 ms 225777/3921	E: 805 / 311
12. E1/E2 	2346 / 4	270635,171 ms 225802/3959	E: 534 / 233
13. E1/E2 	2181 / 3	271883,9345 ms 227489/3998	E: 432 / 205
14. E1/E2 	2156 / 2	269901,5115 ms 226207/3970	E: 506 / 225
15. E1/E2 	1668 / 1	269629,4932 ms 225833/3974	E: 584 / 282
16. E1/E2 	1732 / 0	269820,556 ms 226713/3983	E: 615 / 252
17. E1/E2 	1565 / 1	269282,3319 ms 225758/3979	E: 564 / 225
18. E1/E2 	1308 / 2	270068,004 ms 226221/3985	E: 979 / 409
19. E1/E2 	1126 / 0	269567,9597 ms 226374/3974	E: 511 / 241
20. E1/E2 	1224 / 1	269467,6307 ms 226157/3969	E: 414 / 203
21. E1/E2 	970 / 0	269600,9771 ms 226359/3989	E: 504 / 220
22. E1/E2 	916 / 0	269454,2101 ms 226402/4003	E: 444 / 195
23. E1/E2 	846 / 0	269250,2645 ms 226186/3999	E: 582 / 223
24. E1/E2 	629 / 0	268693,8476 ms 225827/4011	E: 391 / 189
25. E1/E2 	501 / 0	268655,0495 ms 225669/4000	E: 411 / 191
26. E1/E2 	579 / 0	269706,4007 ms 226630/4021	E: 389 / 194
27. E1/E2 	427 / 0	268898,6737 ms 225866/4027	E: 395 / 199
28. E1/E2 	324 / 0	268963,1634 ms 226176/4015	E: 578 / 249
29. E1/E2 	249 / 0	269320,2893 ms 226447/4008	E: 406 / 205
