0. E1/E2 	18022 / 589	433919,9065 ms 74607/2216	E: 1651 / 760
1. E1/E2 	10277 / 266	181329,6717 ms 76091/2311	E: 1188 / 491
2. E1/E2 	7803 / 166	139957,8394 ms 72564/2179	E: 895 / 433
3. E1/E2 	6501 / 115	123227,4113 ms 72530/2173	E: 790 / 336
4. E1/E2 	5682 / 75	112054,7812 ms 74141/2242	E: 643 / 296
5. E1/E2 	5021 / 53	107722,2532 ms 75104/2292	E: 1108 / 511
6. E1/E2 	4522 / 38	103136,3636 ms 75049/2276	E: 862 / 343
7. E1/E2 	4138 / 34	97400,9999 ms 72762/2182	E: 1802 / 726
8. E1/E2 	3612 / 22	93511,3295 ms 72349/2163	E: 549 / 270
9. E1/E2 	3370 / 17	87865,3152 ms 71017/2092	E: 559 / 249
10. E1/E2 	3259 / 12	73313,2361 ms 59221/1354	E: 914 / 255
11. E1/E2 	2777 / 9	72606,2912 ms 59324/1353	E: 1155 / 424
12. E1/E2 	2579 / 6	73570,2164 ms 59587/1349	E: 532 / 249
13. E1/E2 	2497 / 6	74959,7854 ms 61296/1408	E: 1066 / 419
14. E1/E2 	2329 / 3	76696,9691 ms 63607/1449	E: 797 / 262
15. E1/E2 	2108 / 3	71621,4408 ms 59461/1359	E: 1034 / 483
16. E1/E2 	1852 / 0	71267,7223 ms 59690/1354	E: 463 / 217
17. E1/E2 	1474 / 2	71707,1374 ms 59951/1375	E: 736 / 304
18. E1/E2 	1481 / 2	74282,6377 ms 60612/1387	E: 842 / 374
19. E1/E2 	1392 / 0	76934,2512 ms 64539/1474	E: 451 / 225
20. E1/E2 	1260 / 0	75275,9245 ms 63079/1428	E: 534 / 214
21. E1/E2 	1117 / 0	75535,481 ms 63353/1424	E: 561 / 255
22. E1/E2 	1061 / 1	75016,821 ms 62683/1423	E: 494 / 235
23. E1/E2 	899 / 1	77716,8647 ms 65295/1484	E: 437 / 218
24. E1/E2 	799 / 0	75712,1676 ms 63034/1429	E: 403 / 194
25. E1/E2 	957 / 0	77834,9734 ms 65265/1473	E: 401 / 201
26. E1/E2 	972 / 0	76440,7499 ms 64034/1443	E: 419 / 202
27. E1/E2 	548 / 0	76166,6454 ms 63760/1442	E: 410 / 184
28. E1/E2 	722 / 0	78281,2095 ms 65584/1492	E: 445 / 219
29. E1/E2 	452 / 0	75618,2504 ms 63399/1455	E: 394 / 179
30. E1/E2 	440 / 0	75406,2375 ms 63188/1446	E: 409 / 201
31. E1/E2 	394 / 0	75577,8116 ms 63369/1449	E: 394 / 200
32. E1/E2 	231 / 0	76566,8156 ms 62421/1431	E: 395 / 188
33. E1/E2 	347 / 0	75285,3009 ms 63009/1444	E: 436 / 213
34. E1/E2 	297 / 0	75582,3334 ms 63401/1448	E: 439 / 210
35. E1/E2 	157 / 0	76557,8395 ms 63339/1444	E: 405 / 196
36. E1/E2 	184 / 0	78305,2535 ms 66059/1523	E: 419 / 197
37. E1/E2 	223 / 0	78364,548 ms 65556/1504	E: 401 / 198
38. E1/E2 	136 / 0	76382,2447 ms 64088/1465	E: 390 / 196
39. E1/E2 	183 / 0	75637,6168 ms 63548/1448	E: 402 / 199
40. E1/E2 	140 / 0	76250,081 ms 64091/1467	E: 391 / 193
41. E1/E2 	36 / 0	76727,81 ms 64718/1484	E: 382 / 184
42. E1/E2 	2 / 0	76411,6696 ms 64260/1462	E: 381 / 185
43. E1/E2 	8 / 0	74795,8037 ms 62647/1435	E: 378 / 186
44. E1/E2 	99 / 0	75106,2294 ms 62926/1430	E: 386 / 184
45. E1/E2 	26 / 0	75144,3426 ms 62705/1436	E: 386 / 190
46. E1/E2 	48 / 0	77708,9589 ms 65542/1503	E: 382 / 186
47. E1/E2 	0 / 0	74934,7001 ms 62720/1434	E: 382 / 186
	FullTime = 4421584,334 ms 
